이름,id,연도,팀명,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,생년월일
황윤호,62908,2020,KIA,0.00,1,0,0,0,0,0,0,-,1,1/3,0,0,0,0,0,0,0,1993-09-22
황윤호,62908,2021,KIA,0.00,1,0,0,0,0,0,0,-,4,2/3,2,0,0,0,0,1,0,1993-09-22
김기현,62919,2014,한화,5.79,24,0,0,0,1,0,1,0.000,118,23 1/3,38,9,7,1,15,21,15,1989-04-03
김기현,62919,2015,한화,4.35,54,0,0,1,0,0,3,1.000,187,41 1/3,36,5,30,3,32,20,20,1989-04-03
김태형,62918,2018,LG,36.00,1,0,0,0,0,0,0,-,8,1,2,0,4,0,0,4,4,1993-07-07
노건우,62920,2013,NC,7.29,38,0,0,2,8,0,2,0.200,268,58,64,9,38,2,62,50,47,1989-10-22
노건우,62920,2014,NC,4.47,15,0,0,1,2,0,1,0.333,212,48 1/3,44,6,28,2,37,25,24,1989-10-22
노건우,62920,2015,NC,10.65,17,0,0,1,2,0,0,0.333,122,23 2/3,33,8,23,0,25,28,28,1989-10-22
노건우,62920,2018,NC,7.16,20,0,0,1,2,0,0,0.333,158,32 2/3,35,6,29,1,36,29,26,1989-10-22
노건우,62920,2019,NC,12.27,5,0,0,0,0,0,0,-,21,3 2/3,8,1,1,0,1,5,5,1989-10-22
노건우,62920,2020,삼성,4.46,45,0,0,2,3,0,10,0.400,166,36 1/3,28,3,29,2,34,23,18,1989-10-22
노건우,62920,2021,삼성,4.74,16,0,0,0,2,0,1,0.000,82,19,10,2,14,1,19,10,10,1989-10-22
노건우,62920,2022,삼성,4.50,3,0,0,0,0,0,0,-,11,2,2,0,3,0,2,1,1,1989-10-22
노건우,62920,2023,삼성,7.30,16,0,0,0,1,0,1,0.000,65,12 1/3,22,3,5,1,12,11,10,1989-10-22
이민호,62929,2013,NC,4.21,56,0,0,1,3,10,1,0.250,294,66 1/3,59,6,34,8,60,31,31,1993-08-11
이민호,62929,2014,NC,5.01,51,0,0,7,2,2,8,0.778,398,88,93,19,38,8,73,53,49,1993-08-11
이민호,62929,2015,NC,5.06,64,0,0,6,5,0,10,0.545,436,96,103,15,41,6,103,62,54,1993-08-11
이민호,62929,2016,NC,5.51,45,0,0,9,9,2,3,0.500,603,130 2/3,159,18,55,6,102,90,80,1993-08-11
이민호,62929,2017,NC,4.06,60,0,0,5,1,3,6,0.833,388,88 2/3,88,10,30,8,86,46,40,1993-08-11
이민호,62929,2018,NC,4.68,50,0,0,5,4,14,0,0.556,224,50,52,8,19,3,42,34,26,1993-08-11
이민호,62929,2019,NC,6.52,11,0,0,0,0,0,0,-,54,9 2/3,14,0,9,1,4,7,7,1993-08-11
신재영,62937,2016,넥센,3.90,30,0,0,15,7,0,0,0.682,718,168 2/3,192,19,21,11,99,76,73,1989-11-18
신재영,62937,2017,넥센,4.54,34,1,1,6,7,1,2,0.462,537,125,137,14,25,16,75,68,63,1989-11-18
신재영,62937,2018,넥센,6.75,26,0,0,8,9,0,1,0.471,452,101 1/3,133,31,23,8,53,80,76,1989-11-18
신재영,62937,2019,키움,3.68,12,0,0,1,0,0,0,1.000,132,29 1/3,34,1,9,4,21,14,12,1989-11-18
신재영,62937,2020,키움,12.60,7,0,0,0,0,0,0,-,34,5,13,2,4,0,1,8,7,1989-11-18
신재영,62937,2021,SSG,5.72,20,0,0,0,0,0,0,-,124,28 1/3,35,3,2,4,27,18,18,1989-11-18
신재영,62937,2022,SSG,12.46,4,0,0,0,0,0,0,-,21,4 1/3,9,2,0,0,4,6,6,1989-11-18
정진,62941,2013,NC,3.86,5,0,0,0,0,0,0,-,30,7,6,0,3,0,5,4,3,1979-08-06
최금강,62966,2013,NC,4.28,30,0,0,0,2,0,4,0.000,158,33 2/3,32,0,20,4,33,17,16,1989-04-26
최금강,62966,2014,NC,9.00,4,0,0,0,0,0,0,-,24,5,9,0,2,0,4,5,5,1989-04-26
최금강,62966,2015,NC,3.71,78,0,0,6,5,1,14,0.545,384,89 2/3,77,11,37,11,61,40,37,1989-04-26
최금강,62966,2016,NC,5.00,52,0,0,11,4,2,4,0.733,486,108,123,13,36,8,84,65,60,1989-04-26
최금강,62966,2017,NC,7.33,39,0,0,5,3,0,0,0.625,418,89 2/3,111,15,34,12,51,79,73,1989-04-26
최금강,62966,2018,NC,8.44,19,0,0,0,1,0,1,0.000,183,37 1/3,51,8,22,2,18,36,35,1989-04-26
최금강,62966,2021,NC,4.50,20,0,0,2,1,1,0,0.667,129,28,29,4,17,2,25,14,14,1989-04-26
이형범,62951,2013,NC,7.71,2,0,0,0,0,0,0,-,22,4 2/3,8,1,3,0,2,4,4,1994-02-27
이형범,62951,2017,NC,3.07,14,0,0,1,2,0,0,0.333,126,29 1/3,26,2,13,5,14,12,10,1994-02-27
이형범,62951,2018,NC,5.17,23,0,0,1,1,0,0,0.500,238,54,62,5,24,1,22,36,31,1994-02-27
이형범,62951,2019,두산,2.66,67,0,0,6,3,19,10,0.667,258,61,57,4,19,9,31,25,18,1994-02-27
이형범,62951,2020,두산,7.71,27,0,0,1,2,1,1,0.333,122,25 2/3,30,5,16,2,13,22,22,1994-02-27
이형범,62951,2021,두산,0.00,4,0,0,0,0,0,0,-,16,2 2/3,2,0,5,1,2,2,0,1994-02-27
이형범,62951,2022,두산,4.35,31,0,0,0,1,0,0,0.000,142,31,34,1,11,4,17,17,15,1994-02-27
이형범,62951,2023,두산,6.51,23,0,0,1,0,0,1,1.000,134,27 2/3,40,2,12,3,13,23,20,1994-02-27
안성무,63027,2017,삼성,7.71,5,0,0,1,1,0,0,0.500,58,11 2/3,14,2,10,1,8,10,10,1990-12-14
안성무,63027,2018,삼성,11.57,2,0,0,0,0,0,0,-,11,2 1/3,3,2,1,0,5,3,3,1990-12-14
류원석,63103,2019,LG,5.40,2,0,0,0,0,0,0,-,17,3 1/3,2,1,5,0,4,2,2,1989-11-18
류원석,63103,2020,LG,11.57,4,0,0,0,1,0,0,0.000,37,4 2/3,8,1,11,4,5,14,6,1989-11-18
류원석,63103,2021,LG,6.00,6,0,0,0,0,0,0,-,28,6,1,0,9,1,8,4,4,1989-11-18
류원석,63103,2023,한화,4.50,1,0,0,0,0,0,0,-,8,2,1,0,0,1,1,1,1,1989-11-18
조근종,63104,2017,KT,22.50,1,0,0,0,0,0,0,-,13,2,6,1,1,0,5,5,5,1990-05-16
조근종,63104,2019,KT,5.91,10,0,0,0,0,0,1,-,53,10 2/3,15,1,5,2,6,7,7,1990-05-16
류제국,63111,2013,LG,3.87,20,0,0,12,2,0,0,0.857,485,111 2/3,109,11,50,9,88,50,48,1983-05-30
류제국,63111,2014,LG,5.12,27,0,0,9,7,0,0,0.563,661,147 2/3,146,13,58,13,128,100,84,1983-05-30
류제국,63111,2015,LG,4.78,24,0,0,4,9,0,0,0.308,572,130,134,16,55,14,88,72,69,1983-05-30
류제국,63111,2016,LG,4.30,29,1,1,13,11,0,0,0.542,701,161 1/3,152,14,70,21,138,83,77,1983-05-30
류제국,63111,2017,LG,5.35,25,0,0,8,6,0,0,0.571,591,131 1/3,140,10,55,19,107,87,78,1983-05-30
류제국,63111,2019,LG,4.22,11,0,0,0,2,0,0,0.000,243,53 1/3,57,5,26,4,31,27,25,1983-05-30
이윤학,63137,2015,KT,24.00,2,0,0,0,0,0,0,-,20,3,9,2,2,0,4,8,8,1994-06-18
배재준,63145,2018,LG,4.42,16,0,0,1,0,0,0,1.000,174,38 2/3,34,3,20,1,41,24,19,1994-11-24
배재준,63145,2019,LG,5.23,19,0,0,3,4,0,0,0.429,282,62,61,3,33,8,44,42,36,1994-11-24
배재준,63145,2021,LG,4.13,15,0,0,2,2,0,0,0.500,151,32 2/3,42,1,13,3,23,17,15,1994-11-24
배재준,63145,2022,LG,2.30,17,0,0,0,1,0,0,0.000,129,31 1/3,22,0,15,4,23,11,8,1994-11-24
배재준,63145,2023,LG,18.00,1,0,0,0,0,0,0,-,6,1,2,0,1,0,0,2,2,1994-11-24
핸킨스,63229,2013,두산,6.23,12,0,0,3,3,0,0,0.500,273,60 2/3,79,5,21,3,30,42,42,1983-07-01
올슨,63230,2013,두산,6.52,10,0,0,1,1,0,0,0.500,180,38 2/3,41,2,27,5,35,30,28,1983-10-18
함덕주,63248,2013,두산,33.75,3,0,0,0,0,0,0,-,12,1 1/3,6,0,2,0,2,5,5,1995-01-13
함덕주,63248,2014,두산,4.44,31,0,0,1,0,0,2,1.000,111,26 1/3,24,2,12,1,23,13,13,1995-01-13
함덕주,63248,2015,두산,3.65,68,0,0,7,2,2,16,0.778,278,61 2/3,52,4,46,2,76,30,25,1995-01-13
함덕주,63248,2016,두산,6.23,15,0,0,0,0,0,0,-,46,8 2/3,10,0,11,0,7,6,6,1995-01-13
함덕주,63248,2017,두산,3.67,35,0,0,9,8,0,2,0.529,598,137 1/3,128,8,64,4,139,61,56,1995-01-13
함덕주,63248,2018,두산,2.96,62,0,0,6,3,27,3,0.667,293,67,58,4,37,4,75,23,22,1995-01-13
함덕주,63248,2019,두산,3.46,61,0,0,2,5,16,7,0.286,236,54 2/3,39,6,34,1,48,24,21,1995-01-13
함덕주,63248,2020,두산,3.90,36,0,0,5,1,10,2,0.833,240,55 1/3,55,2,21,0,55,25,24,1995-01-13
함덕주,63248,2021,LG,4.29,16,0,0,1,2,0,1,0.333,98,21,20,2,13,3,18,11,10,1995-01-13
함덕주,63248,2022,LG,2.13,13,0,0,0,0,0,0,-,58,12 2/3,9,0,11,1,13,3,3,1995-01-13
함덕주,63248,2023,LG,1.62,57,0,0,4,0,4,16,1.000,222,55 2/3,32,1,22,2,59,12,10,1995-01-13
박소준,63292,2015,두산,11.57,3,0,0,0,0,0,0,-,13,2 1/3,4,1,3,0,2,3,3,1995-01-21
박소준,63292,2020,두산,5.54,8,0,0,1,2,0,0,0.333,117,26,30,3,14,0,20,16,16,1995-01-21
박소준,63292,2021,두산,5.73,22,0,0,0,4,0,0,0.000,274,59 2/3,69,3,29,3,33,42,38,1995-01-21
유창준,63295,2013,두산,4.00,5,0,0,0,1,0,0,0.000,38,9,9,1,3,0,5,4,4,1989-07-25
유창준,63295,2014,두산,11.25,4,0,0,0,0,0,1,-,24,4,9,0,4,0,1,5,5,1989-07-25
조상우,63342,2013,넥센,4.50,5,0,0,0,0,0,0,-,40,8,11,0,5,0,7,4,4,1994-09-04
조상우,63342,2014,넥센,2.47,48,0,0,6,2,0,11,0.750,280,69 1/3,53,2,29,3,73,21,19,1994-09-04
조상우,63342,2015,넥센,3.09,70,0,0,8,5,5,19,0.615,382,93 1/3,65,4,41,6,89,36,32,1994-09-04
조상우,63342,2017,넥센,4.87,13,0,0,5,3,0,2,0.625,198,44 1/3,53,3,15,1,45,25,24,1994-09-04
조상우,63342,2018,넥센,3.79,18,0,0,1,2,9,0,0.333,78,19,16,1,6,2,23,11,8,1994-09-04
조상우,63342,2019,키움,2.66,48,0,0,2,4,20,8,0.333,192,47 1/3,45,3,8,2,46,15,14,1994-09-04
조상우,63342,2020,키움,2.15,53,0,0,5,3,33,0,0.625,232,54 1/3,50,3,18,2,64,15,13,1994-09-04
조상우,63342,2021,키움,3.48,44,0,0,6,5,15,5,0.545,187,44,30,4,19,2,47,18,17,1994-09-04
조성운,63348,2018,넥센,7.43,25,0,0,0,0,0,0,-,128,26 2/3,35,6,13,0,25,24,22,1989-10-02
조성운,63348,2019,키움,7.20,5,0,0,0,0,0,0,-,25,5,9,0,2,0,3,4,4,1989-10-02
조성운,63348,2020,키움,5.40,42,0,0,1,1,0,1,0.500,201,45,48,6,19,2,29,30,27,1989-10-02
밴덴헐크,63432,2013,삼성,3.95,24,0,0,7,9,0,0,0.438,612,143 2/3,127,11,48,11,137,67,63,1985-05-22
밴덴헐크,63432,2014,삼성,3.18,25,1,0,13,4,0,0,0.765,622,152 2/3,125,15,45,5,180,54,54,1985-05-22
윤대경,63464,2020,한화,1.59,55,0,0,5,0,0,7,1.000,225,51,48,3,25,3,42,16,9,1994-04-09
윤대경,63464,2021,한화,3.94,43,0,0,2,5,0,7,0.286,337,77 2/3,73,8,34,6,54,35,34,1994-04-09
윤대경,63464,2022,한화,7.53,25,0,0,4,9,0,0,0.308,349,75 1/3,106,6,17,7,51,63,63,1994-04-09
윤대경,63464,2023,한화,2.45,47,0,0,5,1,0,2,0.833,199,47 2/3,36,4,19,6,28,18,13,1994-04-09
카리대,63465,2013,삼성,27.00,3,0,0,0,1,0,0,0.000,21,2 1/3,8,0,6,0,1,7,7,1983-10-28
로드리게스,63462,2013,삼성,4.40,11,0,0,3,5,0,0,0.375,249,57 1/3,49,6,30,2,46,29,28,1987-12-13
이재익,63492,2020,삼성,135.00,4,0,0,0,0,0,0,-,13,2/3,8,2,2,0,1,11,10,1994-03-18
이재익,63492,2021,삼성,4.50,11,0,0,2,0,0,0,1.000,51,10,11,1,12,0,5,6,5,1994-03-18
이재익,63492,2022,삼성,5.94,42,0,0,3,2,0,7,0.600,149,33 1/3,41,4,9,1,21,25,22,1994-03-18
이재익,63492,2023,삼성,3.95,51,0,0,1,3,0,11,0.250,181,41,46,3,17,0,26,19,18,1994-03-18
박진형,63512,2015,롯데,0.00,2,0,0,0,0,0,0,-,6,1 1/3,2,0,0,0,1,0,0,1994-06-10
박진형,63512,2016,롯데,5.81,39,0,0,6,2,0,3,0.750,438,93,101,9,54,13,78,65,60,1994-06-10
박진형,63512,2017,롯데,5.11,45,0,0,4,4,2,10,0.500,391,88,88,8,47,4,95,51,50,1994-06-10
박진형,63512,2018,롯데,6.23,13,0,0,3,2,0,1,0.600,69,13,23,1,8,1,11,12,9,1994-06-10
박진형,63512,2019,롯데,4.02,41,0,0,2,1,5,5,0.667,169,40 1/3,40,6,11,0,40,19,18,1994-06-10
박진형,63512,2020,롯데,5.70,53,0,0,1,4,0,17,0.200,194,42 2/3,56,7,13,4,50,27,27,1994-06-10
박진형,63512,2021,롯데,7.88,22,0,0,2,1,0,0,0.667,81,16,25,1,10,0,23,14,14,1994-06-10
구승민,63543,2014,롯데,0.00,1,0,0,0,0,0,0,-,1,2/3,0,0,0,0,1,0,0,1990-06-12
구승민,63543,2015,롯데,10.24,11,0,0,0,2,0,0,0.000,140,29,46,9,9,2,20,33,33,1990-06-12
구승민,63543,2018,롯데,3.67,64,0,0,7,4,0,14,0.636,307,73 2/3,62,12,31,3,75,33,30,1990-06-12
구승민,63543,2019,롯데,6.25,41,0,0,1,4,2,6,0.200,180,36,45,5,21,3,43,29,25,1990-06-12
구승민,63543,2020,롯데,3.58,57,0,0,5,2,0,20,0.714,238,60 1/3,40,8,26,0,58,25,24,1990-06-12
구승민,63543,2021,롯데,4.33,68,0,0,6,5,0,20,0.545,262,62 1/3,47,5,31,4,65,30,30,1990-06-12
구승민,63543,2022,롯데,2.90,73,0,0,2,4,0,26,0.333,263,62,46,3,35,1,77,20,20,1990-06-12
구승민,63543,2023,롯데,3.96,67,0,0,2,6,3,22,0.250,289,63 2/3,65,4,29,5,66,32,28,1990-06-12
손동욱,63619,2013,KIA,12.34,13,0,0,0,0,0,0,-,61,11 2/3,15,2,10,2,10,16,16,1989-08-06
손동욱,63619,2017,넥센,0.00,1,0,0,0,0,0,0,-,4,1,0,0,1,0,1,0,0,1989-08-06
고영창,63628,2018,KIA,-,2,0,0,0,0,0,0,-,6,0,4,0,1,1,0,6,6,1989-02-24
고영창,63628,2019,KIA,3.50,55,0,0,1,3,1,10,0.250,243,54,63,2,14,8,22,22,21,1989-02-24
고영창,63628,2020,KIA,6.83,48,0,0,1,1,1,2,0.500,275,58,88,3,17,5,23,46,44,1989-02-24
고영창,63628,2021,KIA,5.79,24,0,0,0,2,0,6,0.000,108,23 1/3,30,0,10,2,6,19,15,1989-02-24
고영창,63628,2022,KIA,1.88,27,0,0,0,1,0,0,0.000,104,24,24,2,10,3,9,5,5,1989-02-24
박준표,63638,2013,KIA,3.72,11,0,0,1,1,0,2,0.500,37,9 2/3,7,2,3,0,6,4,4,1992-06-26
박준표,63638,2014,KIA,7.94,13,0,0,0,1,0,0,0.000,108,22 2/3,28,3,11,4,6,22,20,1992-06-26
박준표,63638,2015,KIA,6.26,37,0,0,2,2,0,3,0.500,201,46,54,4,11,5,33,32,32,1992-06-26
박준표,63638,2016,KIA,6.27,46,0,0,4,0,0,5,1.000,238,51 2/3,60,4,22,8,33,39,36,1992-06-26
박준표,63638,2018,KIA,0.00,1,0,0,0,0,0,0,-,8,2,0,0,2,0,2,0,0,1992-06-26
박준표,63638,2019,KIA,2.09,49,0,0,5,2,0,15,0.714,210,56,42,4,6,4,30,15,13,1992-06-26
박준표,63638,2020,KIA,1.57,50,0,0,7,1,6,11,0.875,205,51 2/3,41,3,8,0,44,16,9,1992-06-26
박준표,63638,2021,KIA,5.91,32,0,0,2,4,0,4,0.333,158,32,42,3,17,9,18,24,21,1992-06-26
박준표,63638,2022,KIA,5.40,34,0,0,1,0,0,8,1.000,112,23 1/3,27,4,10,8,11,15,14,1992-06-26
박준표,63638,2023,KIA,4.50,33,0,0,1,0,0,3,1.000,118,28,28,3,9,0,13,16,14,1992-06-26
조지훈,63730,2013,한화,6.11,21,0,0,0,3,0,0,0.000,154,35 1/3,30,7,15,3,30,24,24,1994-04-06
조지훈,63730,2014,한화,27.00,2,0,0,0,0,0,0,-,6,2/3,2,1,1,1,0,2,2,1994-04-06
이충호,63749,2017,한화,13.50,21,0,0,1,1,0,1,0.500,67,11 1/3,21,3,12,3,8,18,17,1994-09-20
이충호,63749,2019,한화,45.00,1,0,0,0,0,0,0,-,10,1,6,1,1,0,0,5,5,1994-09-20
이충호,63749,2021,한화,7.71,17,0,0,1,0,0,0,1.000,85,16 1/3,20,1,13,3,11,17,14,1994-09-20
이충호,63749,2022,한화,9.64,5,0,0,1,0,0,0,1.000,27,4 2/3,7,1,5,1,4,5,5,1994-09-20
이충호,63749,2023,한화,9.35,11,0,0,0,0,0,0,-,41,8 2/3,12,2,5,1,7,9,9,1994-09-20
이브랜드,63737,2013,한화,5.54,32,2,0,6,14,0,0,0.300,758,172 1/3,190,7,65,10,129,110,106,1983-10-29
김종수,63765,2018,한화,1.80,3,0,0,0,0,0,0,-,18,5,3,1,0,0,1,1,1,1994-06-03
김종수,63765,2019,한화,5.81,35,0,0,2,0,0,0,1.000,148,31,30,4,33,1,28,21,20,1994-06-03
김종수,63765,2020,한화,5.94,54,0,0,1,1,1,7,0.500,228,50,54,6,26,3,43,34,33,1994-06-03
김종수,63765,2021,한화,4.82,49,0,0,1,1,0,6,0.500,208,46 2/3,34,7,32,3,38,29,25,1994-06-03
김종수,63765,2022,한화,4.40,52,0,0,3,4,1,6,0.429,197,45,39,5,21,2,45,30,22,1994-06-03
송창현,63791,2013,한화,3.70,30,0,0,2,8,0,0,0.200,348,82 2/3,58,9,47,5,46,40,34,1989-08-17
송창현,63791,2014,한화,6.69,20,0,0,1,9,0,0,0.100,390,79 1/3,104,11,60,3,30,69,59,1989-08-17
송창현,63791,2016,한화,5.06,11,0,0,0,0,0,0,-,46,10 2/3,9,0,6,0,11,6,6,1989-08-17
송창현,63791,2019,한화,6.39,3,0,0,0,1,0,0,0.000,57,12 2/3,15,4,4,0,5,9,9,1989-08-17
레이예스,63857,2013,SK,4.84,30,2,1,8,13,0,0,0.381,751,173,157,15,91,7,135,99,93,1984-11-20
레이예스,63857,2014,SK,6.55,13,0,0,2,7,0,0,0.222,369,78 1/3,103,10,38,3,41,64,57,1984-11-20
세든,63810,2013,SK,2.98,30,1,0,14,6,0,0,0.700,780,187 1/3,169,14,73,11,160,65,62,1983-10-13
세든,63810,2015,SK,4.99,14,1,1,7,5,0,0,0.583,319,74,77,12,28,5,67,42,41,1983-10-13
세든,63810,2016,SK,5.37,12,0,0,5,5,0,0,0.500,283,62,76,8,17,1,43,52,37,1983-10-13
김사윤,63894,2017,SK,9.00,2,0,0,0,0,0,0,-,15,3,2,0,4,0,3,3,3,1994-06-08
김사윤,63894,2020,SK,5.13,57,0,0,1,1,1,10,0.500,226,47 1/3,37,5,45,8,42,30,27,1994-06-08
김사윤,63894,2021,SSG,9.87,6,0,0,0,1,0,0,0.000,92,17 1/3,20,5,20,4,21,20,19,1994-06-08
김사윤,63894,2022,KIA,7.00,31,0,0,3,0,0,2,1.000,128,27,23,2,24,4,23,21,21,1994-06-08
손정욱,63914,2013,NC,1.77,32,0,0,0,1,0,1,0.000,83,20 1/3,15,2,9,2,10,5,4,1990-12-24
손정욱,63914,2014,NC,4.70,67,0,0,2,1,1,16,0.667,194,44,40,3,25,1,38,24,23,1990-12-24
손정욱,63914,2015,NC,6.56,20,0,0,1,0,0,0,1.000,112,23 1/3,37,3,9,0,17,17,17,1990-12-24
손정욱,63914,2020,NC,5.25,16,0,0,0,0,0,0,-,58,12,16,1,5,1,5,8,7,1990-12-24
손정욱,63914,2021,NC,6.57,15,0,0,1,0,0,0,1.000,61,12 1/3,17,1,7,0,8,9,9,1990-12-24
찰리,63939,2013,NC,2.48,29,0,0,11,7,0,0,0.611,790,189,175,6,60,14,116,60,52,1985-10-25
찰리,63939,2014,NC,3.81,28,1,1,12,8,0,0,0.600,718,165 1/3,184,13,55,9,92,90,70,1985-10-25
찰리,63939,2015,NC,5.74,12,0,0,4,5,0,0,0.444,245,53 1/3,67,8,19,7,29,39,34,1985-10-25
이성민,63935,2013,NC,5.15,40,0,0,3,4,0,4,0.429,266,57 2/3,65,8,27,7,33,35,33,1990-03-30
이성민,63935,2014,NC,5.79,9,0,0,1,2,0,0,0.333,134,28,37,0,16,1,14,22,18,1990-03-30
이성민,63935,2015,롯데,4.58,61,0,0,5,7,4,7,0.417,343,72 2/3,92,11,33,4,58,44,37,1990-03-30
이성민,63935,2016,롯데,7.08,36,0,0,6,5,0,1,0.545,327,68 2/3,89,11,42,4,47,59,54,1990-03-30
아담,63940,2013,NC,4.12,17,0,0,4,8,0,0,0.333,383,91 2/3,93,12,27,1,70,48,42,1987-12-09
장현식,63950,2013,NC,13.50,2,0,0,0,0,0,0,-,11,2,6,0,0,0,0,3,3,1995-02-24
장현식,63950,2015,NC,9.00,2,0,0,0,0,0,0,-,11,2,3,0,2,0,3,2,2,1995-02-24
장현식,63950,2016,NC,4.48,37,0,0,1,3,0,1,0.250,331,76 1/3,68,5,43,2,59,40,38,1995-02-24
장현식,63950,2017,NC,5.29,31,0,0,9,9,0,0,0.500,600,134 1/3,139,18,66,5,120,86,79,1995-02-24
장현식,63950,2018,NC,7.43,21,0,0,3,2,2,1,0.600,126,26 2/3,31,7,17,0,24,22,22,1995-02-24
장현식,63950,2019,NC,4.61,53,0,0,5,4,0,9,0.556,246,54 2/3,58,9,23,4,49,31,28,1995-02-24
장현식,63950,2020,KIA,10.76,37,0,0,4,4,0,6,0.500,207,41,64,8,22,3,26,52,49,1995-02-24
장현식,63950,2021,KIA,3.29,69,0,0,1,5,1,34,0.167,336,76 2/3,67,7,42,3,80,28,28,1995-02-24
장현식,63950,2022,KIA,3.12,54,0,0,2,3,1,19,0.400,233,52,54,4,26,1,40,20,18,1995-02-24
장현식,63950,2023,KIA,4.06,56,0,0,2,2,3,5,0.500,226,51,58,6,26,1,44,26,23,1995-02-24
해커,63938,2013,NC,3.63,27,3,0,4,11,0,0,0.267,744,178 1/3,163,12,50,17,127,83,72,1983-03-26
해커,63938,2014,NC,4.01,30,1,0,8,8,0,0,0.500,749,172 2/3,169,14,62,14,112,86,77,1983-03-26
해커,63938,2015,NC,3.13,31,1,0,19,5,0,0,0.792,833,204,174,14,36,25,164,81,71,1983-03-26
해커,63938,2016,NC,3.45,23,0,0,13,3,0,0,0.813,587,140 2/3,132,14,31,10,119,57,54,1983-03-26
해커,63938,2017,NC,3.42,26,1,0,12,7,0,0,0.632,672,160 1/3,159,14,29,14,97,64,61,1983-03-26
해커,63938,2018,넥센,5.20,14,0,0,5,3,0,0,0.625,349,79 2/3,86,16,30,5,56,49,46,1983-03-26
윤강민,63936,2013,NC,27.00,1,0,0,0,0,0,0,-,7,1,3,0,1,0,0,3,3,1990-10-08
윤강민,63936,2015,NC,45.00,2,0,0,0,0,0,0,-,8,1,2,0,3,1,1,5,5,1990-10-08
윤강민,63936,2018,NC,17.47,6,0,0,0,0,0,0,-,36,5 2/3,14,1,5,2,4,11,11,1990-10-08
윤강민,63936,2019,NC,8.22,5,0,0,0,1,0,0,0.000,42,7 2/3,12,1,6,2,5,8,7,1990-10-08
윤강민,63936,2020,SK,67.50,1,0,0,0,0,0,0,-,8,2/3,4,0,1,1,1,5,5,1990-10-08
이상민,63960,2013,NC,9.00,8,0,0,0,0,0,1,-,13,2,5,0,1,1,5,2,2,1990-11-04
이상민,63960,2014,넥센,8.10,6,0,0,0,0,0,0,-,19,3 1/3,4,0,4,0,4,4,3,1990-11-04
이상민,63960,2015,넥센,10.71,23,0,0,0,1,0,1,0.000,99,19 1/3,29,4,10,3,12,23,23,1990-11-04
이상민,63960,2018,넥센,0.00,4,0,0,0,0,0,0,-,16,4 2/3,3,0,1,0,2,0,0,1990-11-04
이상민,63960,2020,삼성,6.43,17,0,0,0,1,0,1,0.000,69,14,17,4,11,1,13,10,10,1990-11-04
이상민,63960,2021,삼성,4.74,30,0,0,1,1,0,3,0.500,110,24 2/3,28,2,14,0,14,15,13,1990-11-04
이상민,63960,2022,삼성,3.68,46,0,0,0,0,0,9,-,138,29 1/3,30,5,15,3,23,13,12,1990-11-04
이상민,63960,2023,삼성,8.50,23,0,0,2,1,0,1,0.667,83,18,32,2,3,0,17,17,17,1990-11-04
임정호,63959,2015,NC,3.75,80,0,0,1,2,0,14,0.333,200,48,31,2,27,5,54,21,20,1990-04-16
임정호,63959,2016,NC,5.40,42,0,0,1,1,1,7,0.500,111,23 1/3,25,0,11,6,29,17,14,1990-04-16
임정호,63959,2017,NC,4.45,59,0,0,1,0,0,7,1.000,134,30 1/3,30,3,14,2,33,19,15,1990-04-16
임정호,63959,2019,NC,3.86,6,0,0,0,1,0,0,0.000,19,4 2/3,3,0,2,0,6,2,2,1990-04-16
임정호,63959,2020,NC,4.61,69,0,0,2,2,0,22,0.500,175,41,32,3,20,7,38,23,21,1990-04-16
임정호,63959,2021,NC,4.15,60,0,0,0,4,0,12,0.000,165,34 2/3,37,2,25,3,24,20,16,1990-04-16
임정호,63959,2022,NC,3.24,33,0,0,1,2,0,6,0.333,104,25,21,1,7,2,30,11,9,1990-04-16
임정호,63959,2023,NC,4.68,65,0,0,4,4,0,15,0.500,216,50,51,3,17,4,49,30,26,1990-04-16
윤호솔,63961,2014,NC,13.50,2,0,0,0,0,0,0,-,18,3 1/3,8,3,0,1,3,5,5,1994-07-15
윤호솔,63961,2019,한화,17.18,3,0,0,0,0,0,0,-,22,3 2/3,8,1,3,0,2,7,7,1994-07-15
윤호솔,63961,2020,한화,10.50,6,0,0,0,1,0,0,0.000,32,6,8,2,6,0,4,8,7,1994-07-15
윤호솔,63961,2021,한화,4.62,55,0,0,3,0,0,8,1.000,214,48 2/3,41,7,30,3,42,29,25,1994-07-15
윤호솔,63961,2022,한화,4.04,52,0,0,3,5,0,7,0.375,199,42 1/3,43,2,28,0,33,26,19,1994-07-15
윤호솔,63961,2023,LG,2.45,4,0,0,0,0,0,0,-,17,3 2/3,3,0,3,0,4,1,1,1994-07-15
박진우,63991,2015,NC,3.14,11,0,0,1,1,0,0,0.500,62,14 1/3,19,1,2,1,8,5,5,1990-02-12
박진우,63991,2018,NC,3.66,11,0,0,1,0,0,1,1.000,80,19 2/3,18,2,5,2,15,8,8,1990-02-12
박진우,63991,2019,NC,3.14,41,0,0,9,7,0,5,0.563,590,140 2/3,137,9,29,19,92,53,49,1990-02-12
