이름,id,연도,팀명,타율,경기,타석,타수,득점,안타,2루타,3루타,홈런,루타,타점,도루,도루실패,볼넷,사구,삼진,병살타,장타율,출루율,실책,생년월일
김민우,65764,2022,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1995-07-25
김범수,65769,2022,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1995-10-03
브라운,65823,2015,SK,0.261,137,539,464,82,121,21,2,28,230,76,5,2,66,7,127,12,0.496,0.360,3,1984-09-10
조한욱,65827,2016,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-12-19
이현석,65869,2015,SK,0.333,3,3,3,1,1,0,0,1,4,2,0,0,0,0,1,0,1.333,0.333,0,1992-06-07
이현석,65869,2016,SK,0.182,11,11,11,1,2,0,0,0,2,0,0,0,0,0,8,1,0.182,0.182,0,1992-06-07
이현석,65869,2019,SK,0.000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,1992-06-07
이현석,65869,2020,SK,0.178,58,109,101,7,18,2,0,2,26,7,1,0,4,2,30,4,0.257,0.224,2,1992-06-07
이현석,65869,2021,SSG,0.266,39,89,79,7,21,5,0,4,38,19,0,0,5,0,29,0,0.481,0.302,2,1992-06-07
이현석,65869,2022,SSG,0.133,9,15,15,0,2,0,0,0,2,1,0,0,0,0,5,1,0.133,0.133,1,1992-06-07
최승민,65905,2019,NC,0.444,24,10,9,5,4,1,0,0,5,1,6,2,1,0,2,0,0.556,0.500,0,1996-07-01
최승민,65905,2021,NC,0.226,48,34,31,8,7,1,0,0,8,1,4,3,1,0,7,0,0.258,0.250,0,1996-07-01
최승민,65905,2022,NC,0.324,44,34,34,19,11,0,0,0,11,3,6,3,0,0,7,1,0.324,0.324,1,1996-07-01
최승민,65905,2023,LG,0.071,38,15,14,10,1,0,0,0,1,1,8,3,1,0,4,1,0.071,0.133,0,1996-07-01
김웅빈,65898,2016,넥센,0.429,10,15,14,4,6,0,0,1,9,4,0,0,0,0,3,0,0.643,0.400,2,1996-02-09
김웅빈,65898,2017,넥센,0.252,67,142,135,18,34,8,0,3,51,19,0,0,6,1,33,3,0.378,0.289,4,1996-02-09
김웅빈,65898,2019,키움,0.273,4,11,11,1,3,1,0,0,4,3,0,0,0,0,2,2,0.364,0.273,0,1996-02-09
김웅빈,65898,2020,키움,0.275,73,235,207,25,57,13,0,8,94,31,1,0,17,3,65,6,0.454,0.335,6,1996-02-09
김웅빈,65898,2021,키움,0.241,97,279,232,24,56,13,1,6,89,35,1,1,34,9,73,2,0.384,0.357,4,1996-02-09
김웅빈,65898,2022,키움,0.226,45,135,115,17,26,5,1,1,36,11,0,2,13,4,38,2,0.313,0.326,1,1996-02-09
김웅빈,65898,2023,키움,0.188,29,74,64,2,12,3,0,0,15,9,0,0,6,2,20,1,0.234,0.270,2,1996-02-09
류진욱,65949,2021,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-10-10
류진욱,65949,2022,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-10-10
류진욱,65949,2023,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-10-10
구창모,65933,2016,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-02-17
이우석,65964,2019,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-04-16
이우석,65964,2021,NC,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-04-16
김선기,66018,2023,키움,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1991-09-01
박세진,66047,2016,KT,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-06-27
남태혁,66052,2016,KT,0.205,16,48,44,2,9,3,0,0,12,2,1,0,3,0,18,3,0.273,0.250,4,1991-03-13
남태혁,66052,2017,KT,0.250,31,68,60,8,15,1,0,2,22,11,0,0,6,1,20,0,0.367,0.324,2,1991-03-13
남태혁,66052,2018,KT,0.182,7,11,11,0,2,0,0,0,2,0,0,0,0,0,3,0,0.182,0.182,0,1991-03-13
남태혁,66052,2019,SK,0.227,12,24,22,1,5,0,0,0,5,1,0,0,2,0,3,3,0.227,0.292,0,1991-03-13
남태혁,66052,2020,SK,0.197,35,72,66,3,13,1,0,1,17,11,0,0,6,0,22,2,0.258,0.264,0,1991-03-13
남태혁,66052,2021,SSG,0.300,12,22,20,2,6,1,0,1,10,4,0,0,1,1,7,1,0.500,0.364,2,1991-03-13
김기연,66112,2018,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-09-07
김기연,66112,2022,LG,0.222,12,9,9,0,2,0,0,0,2,1,0,0,0,0,3,0,0.222,0.222,0,1997-09-07
김기연,66112,2023,LG,0.118,28,40,34,3,4,0,0,0,4,2,1,0,5,0,10,0,0.118,0.231,4,1997-09-07
김호은,66113,2020,LG,0.243,69,112,103,12,25,5,0,2,36,11,0,0,7,2,14,2,0.350,0.304,1,1992-01-03
김호은,66113,2021,LG,0.000,7,9,9,0,0,0,0,0,0,0,0,0,0,0,4,0,0.000,0.000,0,1992-01-03
김호은,66113,2022,LG,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1992-01-03
홍창기,66108,2016,LG,0.000,3,5,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0.000,0.200,0,1993-11-21
홍창기,66108,2018,LG,0.167,12,25,18,1,3,2,0,0,5,0,0,1,7,0,8,0,0.278,0.400,0,1993-11-21
홍창기,66108,2019,LG,0.250,23,26,24,3,6,2,0,0,8,0,3,0,1,1,12,1,0.333,0.308,0,1993-11-21
홍창기,66108,2020,LG,0.279,135,507,408,87,114,29,6,5,170,39,11,5,83,10,87,8,0.417,0.411,2,1993-11-21
홍창기,66108,2021,LG,0.328,144,651,524,103,172,26,2,4,214,52,23,8,109,16,95,6,0.408,0.456,2,1993-11-21
홍창기,66108,2022,LG,0.286,118,525,437,76,125,19,4,1,155,51,13,4,59,19,75,11,0.355,0.390,1,1993-11-21
홍창기,66108,2023,LG,0.332,141,643,524,109,174,35,2,1,216,65,23,23,88,22,83,6,0.412,0.444,2,1993-11-21
김대현,66145,2016,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-08
김대현,66145,2017,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-08
김대현,66145,2020,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-08
김대현,66145,2023,LG,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-08
김주성,66162,2017,LG,1.000,2,1,1,1,1,0,0,0,1,0,0,0,0,0,0,0,1.000,1.000,0,1998-01-30
김주성,66162,2021,LG,0.167,3,7,6,1,1,0,0,1,4,1,0,0,1,0,3,0,0.667,0.286,2,1998-01-30
김주성,66162,2023,LG,0.200,11,7,5,1,1,0,0,0,1,0,0,0,1,1,2,0,0.200,0.429,2,1998-01-30
유재유,66160,2017,LG,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-03
유재유,66160,2018,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-03
고봉재,66201,2016,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1993-05-14
서예일,66203,2016,두산,0.105,31,21,19,3,2,0,0,0,2,0,0,0,2,0,8,1,0.105,0.190,1,1993-06-19
서예일,66203,2017,두산,0.261,22,25,23,5,6,2,0,0,8,2,0,0,1,0,6,1,0.348,0.292,1,1993-06-19
서예일,66203,2019,두산,0.000,7,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,1993-06-19
서예일,66203,2020,두산,0.240,40,29,25,4,6,2,0,0,8,1,0,0,3,0,7,0,0.320,0.310,3,1993-06-19
서예일,66203,2021,두산,0.000,5,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,1,1993-06-19
서예일,66203,2022,두산,0.160,35,27,25,2,4,1,0,0,5,2,0,0,1,0,6,1,0.200,0.192,3,1993-06-19
서예일,66203,2023,두산,0.222,5,10,9,2,2,0,0,0,2,1,0,0,0,0,2,0,0.222,0.200,1,1993-06-19
조수행,66209,2016,두산,0.276,66,29,29,16,8,0,0,0,8,3,2,3,0,0,6,0,0.276,0.276,1,1993-08-30
조수행,66209,2017,두산,0.277,80,52,47,17,13,2,0,0,15,2,3,2,4,1,12,0,0.319,0.346,1,1993-08-30
조수행,66209,2018,두산,0.279,119,198,183,35,51,6,4,1,68,17,9,0,9,0,33,4,0.372,0.311,1,1993-08-30
조수행,66209,2020,두산,0.263,44,40,38,12,10,0,0,0,10,4,3,2,2,0,6,0,0.263,0.300,1,1993-08-30
조수행,66209,2021,두산,0.286,115,104,84,34,24,2,1,1,31,8,21,4,16,3,26,1,0.369,0.417,1,1993-08-30
조수행,66209,2022,두산,0.235,117,134,119,36,28,4,1,1,37,9,22,7,10,1,31,4,0.311,0.295,0,1993-08-30
조수행,66209,2023,두산,0.219,126,249,219,41,48,2,1,1,55,17,26,6,23,2,38,2,0.251,0.298,2,1993-08-30
황경태,66207,2017,두산,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-08-17
황경태,66207,2018,두산,0.231,27,13,13,9,3,2,0,0,5,0,0,1,0,0,3,0,0.385,0.231,1,1996-08-17
황경태,66207,2021,두산,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,1,1996-08-17
홍성호,66233,2022,두산,0.167,12,19,18,3,3,0,0,0,3,0,0,0,1,0,7,1,0.167,0.211,0,1997-07-15
홍성호,66233,2023,두산,0.292,21,51,48,6,14,4,0,0,18,5,0,1,2,1,14,0,0.375,0.333,1,1997-07-15
이영하,66291,2018,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-01
이영하,66291,2019,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-01
이영하,66291,2020,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-01
이영하,66291,2021,두산,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-11-01
에반스,66244,2016,두산,0.308,118,481,400,69,123,31,0,24,226,81,0,0,69,5,90,10,0.565,0.410,2,1986-01-30
에반스,66244,2017,두산,0.296,138,581,514,82,152,19,0,27,252,90,2,0,61,3,114,15,0.490,0.372,0,1986-01-30
박승주,66305,2021,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1994-02-12
박승주,66305,2022,키움,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1994-02-12
채상현,66302,2017,넥센,0.300,5,12,10,0,3,0,0,0,3,0,1,0,1,0,3,1,0.300,0.364,0,1993-04-14
대니돈,66306,2016,넥센,0.295,129,497,417,65,123,33,1,16,206,70,1,0,70,5,72,8,0.494,0.399,4,1984-07-20
대니돈,66306,2017,넥센,0.140,20,57,50,5,7,2,0,1,12,2,0,0,7,0,16,3,0.240,0.246,0,1984-07-20
주효상,66354,2016,넥센,0.222,12,19,18,3,4,1,0,0,5,3,0,0,1,0,9,0,0.278,0.263,0,1997-11-11
주효상,66354,2017,넥센,0.195,64,129,118,10,23,5,0,1,31,9,0,0,9,2,51,2,0.263,0.264,2,1997-11-11
주효상,66354,2018,넥센,0.218,80,126,110,9,24,3,0,1,30,12,1,2,10,2,36,2,0.273,0.295,2,1997-11-11
주효상,66354,2019,키움,0.207,18,30,29,3,6,2,1,0,10,5,0,0,1,0,7,0,0.345,0.233,1,1997-11-11
주효상,66354,2020,키움,0.190,63,101,84,6,16,4,0,0,20,7,0,0,13,0,26,0,0.238,0.296,4,1997-11-11
주효상,66354,2023,KIA,0.063,19,36,32,2,2,0,0,0,2,1,0,0,2,0,10,1,0.063,0.118,0,1997-11-11
김종덕,66392,2018,넥센,0.500,3,2,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0.500,0.500,0,1993-05-12
안주형,66406,2017,삼성,0.300,10,10,10,0,3,1,0,0,4,2,1,1,0,0,1,0,0.400,0.300,3,1993-08-14
안주형,66406,2018,삼성,0.250,15,8,8,2,2,0,0,0,2,1,0,0,0,0,3,0,0.250,0.250,1,1993-08-14
안주형,66406,2021,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1993-08-14
안주형,66406,2022,삼성,0.150,18,23,20,2,3,0,0,0,3,2,0,0,1,0,6,0,0.150,0.182,0,1993-08-14
안주형,66406,2023,삼성,0.241,53,91,79,12,19,2,0,1,24,10,0,0,10,0,20,3,0.304,0.322,2,1993-08-14
이성규,66409,2016,삼성,0.250,6,6,4,2,1,0,0,0,1,0,0,0,0,0,3,0,0.250,0.250,0,1993-08-03
이성규,66409,2017,삼성,0.118,15,20,17,4,2,0,0,0,2,0,0,0,1,1,9,0,0.118,0.211,0,1993-08-03
이성규,66409,2019,삼성,0.256,16,46,43,3,11,2,0,2,19,7,1,1,2,1,16,1,0.442,0.304,3,1993-08-03
이성규,66409,2020,삼성,0.181,98,245,216,25,39,7,1,10,78,30,3,1,18,5,64,7,0.361,0.257,8,1993-08-03
이성규,66409,2022,삼성,0.074,13,34,27,5,2,0,0,0,2,1,0,0,5,2,8,1,0.074,0.265,0,1993-08-03
이성규,66409,2023,삼성,0.207,109,162,145,23,30,10,1,1,45,18,4,3,8,3,42,4,0.310,0.259,3,1993-08-03
최충연,66451,2017,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-03-05
발디리스,66452,2016,삼성,0.266,44,190,154,24,41,6,0,8,71,33,0,0,31,2,17,9,0.461,0.389,5,1983-01-05
김성훈,66462,2017,삼성,0.318,47,166,151,27,48,4,2,0,56,18,4,2,12,1,16,2,0.371,0.370,2,1993-10-27
김성훈,66462,2018,삼성,0.243,110,212,185,24,45,9,3,0,60,24,12,6,16,6,23,2,0.324,0.321,4,1993-10-27
김성훈,66462,2019,삼성,0.182,65,88,77,14,14,1,1,1,20,5,4,3,7,0,11,0,0.260,0.250,3,1993-10-27
황선도,66469,2016,삼성,0.333,1,4,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0.333,0.500,0,1997-08-28
임대한,66493,2016,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1993-08-13
나경민,66508,2016,롯데,0.232,35,66,56,13,13,2,0,0,15,3,3,3,8,0,18,0,0.268,0.323,1,1991-12-12
나경민,66508,2017,롯데,0.256,97,129,117,37,30,5,2,1,42,11,20,3,7,2,37,1,0.359,0.307,0,1991-12-12
나경민,66508,2018,롯데,0.263,87,71,57,23,15,2,0,0,17,1,12,4,10,3,21,0,0.298,0.400,0,1991-12-12
나경민,66508,2019,롯데,0.200,45,49,45,10,9,0,2,0,13,7,2,0,3,1,12,0,0.289,0.265,0,1991-12-12
김승현,66492,2017,삼성,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1992-07-09
이찬건,66504,2019,롯데,0.000,2,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0,1996-05-14
맥스웰,66523,2016,롯데,0.288,23,99,80,14,23,3,1,4,40,16,2,2,15,3,25,0,0.500,0.414,1,1983-11-06
최원준,66606,2016,KIA,0.458,14,25,24,5,11,1,0,1,15,4,1,1,0,0,3,0,0.625,0.458,2,1997-03-23
최원준,66606,2017,KIA,0.308,72,174,156,27,48,15,0,3,72,27,3,2,10,2,20,2,0.462,0.351,6,1997-03-23
최원준,66606,2018,KIA,0.272,101,331,302,46,82,14,1,4,110,32,10,4,20,4,58,4,0.364,0.324,14,1997-03-23
최원준,66606,2019,KIA,0.198,90,255,232,33,46,11,3,1,66,18,8,4,16,4,51,4,0.284,0.261,6,1997-03-23
최원준,66606,2020,KIA,0.326,123,412,359,72,117,16,6,2,151,35,14,3,33,6,35,1,0.421,0.387,4,1997-03-23
최원준,66606,2021,KIA,0.295,143,668,589,82,174,21,6,4,219,44,40,13,61,11,68,7,0.372,0.370,7,1997-03-23
최원준,66606,2023,KIA,0.255,67,274,239,37,61,11,2,1,79,23,13,5,31,0,39,5,0.331,0.341,8,1997-03-23
류승현,66615,2018,KIA,0.307,35,85,75,9,23,3,1,1,31,13,0,0,7,1,12,2,0.413,0.369,4,1997-07-01
류승현,66615,2019,KIA,0.253,57,163,150,14,38,8,1,0,48,14,3,2,9,4,29,3,0.320,0.313,1,1997-07-01
류승현,66615,2022,KIA,0.000,3,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1997-07-01
김규성,66614,2020,KIA,0.178,103,182,157,21,28,2,1,3,41,11,2,1,13,1,40,1,0.261,0.246,6,1997-03-08
김규성,66614,2021,KIA,0.139,54,41,36,8,5,1,0,0,6,2,0,1,5,0,17,0,0.167,0.244,4,1997-03-08
김규성,66614,2022,KIA,0.180,70,52,50,14,9,0,1,1,14,4,0,0,1,0,12,0,0.280,0.196,2,1997-03-08
김규성,66614,2023,KIA,0.234,99,177,158,29,37,6,1,2,51,11,6,2,13,1,43,2,0.323,0.297,8,1997-03-08
전상현,66609,2016,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-04-18
전상현,66609,2019,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1996-04-18
김현준,66630,2020,KIA,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-06-05
헥터,66643,2016,KIA,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1987-01-26
헥터,66643,2018,KIA,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1987-01-26
이진영,66657,2016,KIA,0.138,17,33,29,4,4,0,0,0,4,2,1,1,3,0,10,1,0.138,0.219,1,1997-07-21
이진영,66657,2017,KIA,0.400,18,8,5,3,2,0,0,0,2,0,0,1,1,2,1,0,0.400,0.625,1,1997-07-21
이진영,66657,2019,KIA,0.133,11,15,15,1,2,0,0,0,2,2,0,0,0,0,4,0,0.133,0.133,0,1997-07-21
이진영,66657,2020,KIA,0.227,32,27,22,4,5,1,0,0,6,5,1,0,5,0,9,1,0.273,0.370,1,1997-07-21
이진영,66657,2021,KIA,0.200,17,47,40,8,8,2,1,2,18,5,1,0,3,4,22,0,0.450,0.319,0,1997-07-21
이진영,66657,2022,한화,0.200,70,240,220,27,44,12,1,8,82,31,2,2,17,0,90,4,0.373,0.254,2,1997-07-21
이진영,66657,2023,한화,0.249,121,422,358,57,89,22,0,10,141,50,5,0,53,2,127,4,0.394,0.344,5,1997-07-21
신범수,66662,2018,KIA,0.160,19,26,25,0,4,2,1,0,8,4,0,0,0,0,7,1,0.320,0.154,0,1998-01-25
신범수,66662,2019,KIA,0.211,39,65,57,4,12,5,0,2,23,7,0,0,7,1,14,1,0.404,0.308,1,1998-01-25
신범수,66662,2022,KIA,0.000,2,3,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1998-01-25
신범수,66662,2023,KIA,0.170,36,100,88,7,15,3,0,2,24,10,0,0,7,2,19,3,0.273,0.245,0,1998-01-25
이시원,66702,2016,한화,0.000,17,2,2,3,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1996-07-24
이시원,66702,2017,한화,0.221,67,145,131,23,29,0,0,0,29,2,4,2,5,1,15,2,0.221,0.255,1,1996-07-24
이시원,66702,2018,한화,0.239,28,50,46,6,11,1,0,1,15,2,0,1,3,1,8,1,0.326,0.300,0,1996-07-24
이시원,66702,2019,한화,0.290,14,31,31,3,9,1,0,0,10,4,3,0,0,0,8,1,0.323,0.290,0,1996-07-24
이시원,66702,2020,한화,0.105,37,39,38,5,4,0,0,0,4,1,0,0,0,1,14,0,0.105,0.128,0,1996-07-24
이시원,66702,2021,한화,0.189,33,62,53,8,10,1,0,0,11,2,2,2,3,2,12,2,0.208,0.259,1,1996-07-24
이시원,66702,2022,KT,0.133,31,16,15,6,2,0,0,0,2,1,2,0,0,1,4,0,0.133,0.188,0,1996-07-24
이시원,66702,2023,KT,0.138,29,32,29,4,4,0,0,0,4,1,0,1,2,0,6,0,0.138,0.194,0,1996-07-24
김태연,66704,2017,한화,0.048,12,22,21,1,1,0,0,1,4,2,0,0,1,0,11,0,0.190,0.091,2,1997-06-10
김태연,66704,2018,한화,0.192,24,30,26,7,5,1,0,0,6,2,0,1,3,0,8,0,0.231,0.276,2,1997-06-10
김태연,66704,2019,한화,0.250,9,6,4,0,1,1,0,0,2,0,0,0,2,0,2,0,0.500,0.500,1,1997-06-10
김태연,66704,2021,한화,0.301,53,220,176,29,53,12,0,3,74,34,5,3,34,5,44,4,0.420,0.418,7,1997-06-10
김태연,66704,2022,한화,0.240,119,464,404,46,97,18,0,7,136,53,3,2,48,5,106,9,0.337,0.325,14,1997-06-10
김태연,66704,2023,한화,0.261,91,280,245,25,64,13,0,4,89,25,5,1,27,3,59,3,0.363,0.337,3,1997-06-10
강상원,66710,2017,한화,0.214,33,14,14,8,3,1,0,0,4,1,0,0,0,0,5,0,0.286,0.214,0,1997-05-05
강상원,66710,2018,한화,0.000,6,7,6,0,0,0,0,0,0,0,1,0,1,0,2,0,0.000,0.143,0,1997-05-05
강상원,66710,2021,한화,0.108,35,49,37,7,4,0,0,0,4,2,3,0,9,1,11,0,0.108,0.298,0,1997-05-05
강상원,66710,2022,한화,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-05-05
박상언,66707,2017,한화,0.000,4,4,2,1,0,0,0,0,0,0,0,0,2,0,1,0,0.000,0.500,0,1997-03-03
박상언,66707,2019,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.000,0.000,0,1997-03-03
박상언,66707,2020,한화,0.217,38,47,46,4,10,3,0,0,13,2,0,0,0,1,16,1,0.283,0.234,2,1997-03-03
박상언,66707,2021,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0,1997-03-03
박상언,66707,2022,한화,0.224,56,151,134,16,30,5,1,4,49,17,0,3,11,0,28,2,0.366,0.281,9,1997-03-03
박상언,66707,2023,한화,0.200,86,161,145,13,29,5,1,1,39,13,1,2,10,1,38,6,0.269,0.253,1,1997-03-03
장진혁,66706,2018,한화,0.214,50,48,42,9,9,4,1,0,15,2,1,2,4,2,11,0,0.357,0.313,0,1993-09-30
장진혁,66706,2019,한화,0.254,113,349,315,42,80,16,5,1,109,24,13,5,26,5,74,4,0.346,0.320,3,1993-09-30
장진혁,66706,2020,한화,0.156,19,37,32,2,5,0,1,0,7,1,2,1,5,0,6,0,0.219,0.270,0,1993-09-30
장진혁,66706,2022,한화,0.233,41,132,116,11,27,2,0,2,35,17,2,1,12,0,28,1,0.302,0.298,4,1993-09-30
장진혁,66706,2023,한화,0.222,68,178,162,24,36,5,1,0,43,12,5,4,15,0,41,3,0.265,0.287,1,1993-09-30
김인환,66715,2018,한화,0.000,4,6,6,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0,1994-01-28
김인환,66715,2019,한화,0.214,18,46,42,1,9,1,0,0,10,2,0,0,2,0,9,0,0.238,0.239,1,1994-01-28
김인환,66715,2022,한화,0.261,113,429,398,48,104,14,0,16,166,54,2,0,24,3,111,4,0.417,0.305,5,1994-01-28
김인환,66715,2023,한화,0.225,112,365,325,34,73,16,0,7,110,42,1,0,35,2,91,4,0.338,0.301,5,1994-01-28
정경운,66716,2017,한화,0.236,46,121,106,8,25,2,1,1,32,7,2,0,9,0,24,2,0.302,0.291,6,1993-08-09
정경운,66716,2018,한화,0.067,22,16,15,1,1,0,0,0,1,2,0,0,0,0,7,1,0.067,0.063,0,1993-08-09
로사리오,66740,2016,한화,0.321,127,532,492,78,158,31,2,33,292,120,1,3,33,4,90,16,0.593,0.367,6,1989-02-23
로사리오,66740,2017,한화,0.339,119,510,445,100,151,30,1,37,294,111,10,5,50,10,61,12,0.661,0.414,10,1989-02-23
김주현,66749,2016,한화,0.000,4,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0.000,0.000,0,1993-12-21
김주현,66749,2017,한화,0.265,24,43,34,3,9,2,0,0,11,3,0,0,8,1,15,0,0.324,0.419,2,1993-12-21
김주현,66749,2021,롯데,0.250,8,17,16,1,4,0,0,0,4,0,0,0,1,0,6,0,0.250,0.294,0,1993-12-21
노관현,66804,2017,KIA,0.500,9,6,6,0,3,0,0,0,3,1,0,0,0,0,2,0,0.500,0.500,0,1993-10-18
임석진,66833,2016,SK,0.182,11,12,11,3,2,0,0,0,2,0,0,0,1,0,6,0,0.182,0.250,0,1997-10-10
임석진,66833,2022,KIA,0.071,10,17,14,4,1,0,0,1,4,1,0,0,2,1,9,1,0.286,0.235,0,1997-10-10
고메즈,66805,2016,SK,0.283,117,492,456,74,129,31,0,21,223,62,16,8,25,5,87,11,0.489,0.324,25,1988-03-05
김동엽,66838,2016,SK,0.336,57,150,143,19,48,8,0,6,74,23,2,1,5,1,41,3,0.517,0.360,0,1990-07-24
김동엽,66838,2017,SK,0.277,125,428,393,58,109,18,1,22,195,70,2,4,23,9,62,6,0.496,0.329,5,1990-07-24
김동엽,66838,2018,SK,0.252,124,446,421,58,106,15,0,27,202,76,11,2,17,4,108,13,0.480,0.285,3,1990-07-24
김동엽,66838,2019,삼성,0.215,60,211,195,15,42,4,1,6,66,25,2,1,12,2,47,2,0.338,0.265,1,1990-07-24
김동엽,66838,2020,삼성,0.312,115,451,413,60,129,21,0,20,210,74,4,4,29,4,79,14,0.508,0.360,2,1990-07-24
김동엽,66838,2021,삼성,0.238,69,203,185,20,44,9,0,4,65,24,2,1,10,4,42,2,0.351,0.286,1,1990-07-24
김동엽,66838,2022,삼성,0.221,30,100,95,9,21,5,0,2,32,4,0,3,4,0,22,1,0.337,0.250,0,1990-07-24
김동엽,66838,2023,삼성,0.255,69,182,165,20,42,7,0,5,64,18,1,1,13,2,29,8,0.388,0.313,1,1990-07-24
라라,66825,2016,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1988-12-20
김주한,66859,2016,SK,-,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1993-02-03
김주한,66859,2017,SK,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1993-02-03
김주한,66859,2020,SK,-,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1993-02-03
김찬형,66917,2017,NC,-,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-,-,0,1997-12-29
김찬형,66917,2018,NC,0.232,63,160,142,24,33,5,0,1,41,9,4,1,8,8,28,1,0.289,0.308,5,1997-12-29
김찬형,66917,2019,NC,0.277,76,154,141,16,39,4,2,1,50,12,3,4,6,4,21,1,0.355,0.322,3,1997-12-29
김찬형,66917,2020,NC,0.297,56,72,64,10,19,6,0,0,25,7,3,1,4,1,11,0,0.391,0.343,10,1997-12-29
김찬형,66917,2021,SSG,0.227,88,161,132,20,30,7,0,2,43,7,0,0,16,4,32,1,0.326,0.329,4,1997-12-29
김찬형,66917,2023,SSG,0.229,36,53,48,6,11,3,0,1,17,5,0,0,2,1,10,1,0.354,0.275,3,1997-12-29
