이름,id,연도,팀명,평균자책점,경기,완투,완봉,승리,패배,세이브,홀드,승률,타자수,이닝,피안타,피홈런,볼넷,사구,삼진,실점,자책점,생년월일,포지션,WAR,폭투,ERA,FIP,WHIP,ERA+,FIP+,WPA
나균안,67539,2023,롯데,3.8,23,0,0,6,8,0,0,0.429,569,130.3,140,8,42,5,114,61,55,1998-03-16,선발,1.75,6.0,3.8,3.55,1.4,109.5,115.7,0.46
박상원,67703,2023,한화,3.65,55,0,0,5,3,16,0,0.625,277,61.7,63,2,29,3,57,35,25,1994-09-09,중계,0.37,2.0,3.65,3.38,1.49,113.8,122.6,0.92
김태현,67956,2023,NC,4.43,16,0,0,1,0,0,0,1.0,90,20.3,17,4,13,1,14,13,10,1998-03-21,중계,0.13,0.0,4.43,6.69,1.48,94.1,63.2,-0.01
김진호,67954,2023,NC,2.76,19,0,0,2,1,0,9,0.667,73,16.3,15,0,10,1,22,5,5,1998-06-07,중계,0.6,3.0,2.76,2.77,1.53,151.2,151.7,0.27
최이준,68036,2023,롯데,6.83,28,0,0,1,0,0,1,1.0,143,29.0,37,1,21,0,20,22,22,1999-04-10,중계,-0.15,4.0,6.83,4.58,2.0,60.9,90.2,0.23
김민,68043,2023,KT,6.83,16,0,0,1,2,0,0,0.333,145,29.0,40,3,16,4,22,26,22,1999-04-14,선발,-0.64,4.0,6.83,5.34,1.93,61.8,78.0,-1.13
김영준,68130,2023,LG,27.0,1,0,0,1,0,0,0,1.0,3,0.3,1,0,1,0,0,1,1,1999-01-12,중계,-0.05,0.0,27.0,12.44,6.0,15.1,33.2,-0.03
곽빈,68220,2023,두산,2.9,23,0,0,12,7,0,0,0.632,526,127.3,96,7,58,5,106,44,41,1999-05-28,선발,4.18,4.0,2.9,3.98,1.21,140.6,102.2,2.46
정철원,68242,2023,두산,3.96,67,0,0,7,6,13,11,0.538,315,72.7,66,8,32,2,55,36,32,1999-03-27,중계,1.13,6.0,3.96,4.68,1.35,102.8,85.6,0.2
안우진,68341,2023,키움,2.39,24,0,0,9,7,0,0,0.563,608,150.7,121,5,38,1,164,44,40,1999-08-30,선발,5.2,8.0,2.39,2.45,1.06,171.9,164.8,3.46
양창섭,68415,2023,삼성,9.1,15,0,0,0,3,0,2,0.0,141,28.7,45,7,16,1,12,29,29,1999-09-22,선발,-0.77,2.0,9.1,7.45,2.13,46.5,56.8,-0.92
최채흥,68419,2023,삼성,6.68,15,0,0,1,7,0,0,0.125,295,63.3,90,9,16,3,33,52,47,1995-01-22,선발,-0.79,1.0,6.68,5.1,1.67,63.4,82.7,-1.62
최하늘,68501,2023,삼성,19.89,3,0,0,0,2,0,0,0.0,40,6.3,14,2,5,2,3,14,14,1999-03-26,중계,-0.71,0.0,19.89,9.92,3.0,21.3,42.6,-0.71
정성종,68556,2023,롯데,5.32,12,0,0,0,1,0,1,0.0,98,22.0,21,1,15,1,10,14,13,1995-11-16,선발,-0.05,1.0,5.32,5.17,1.64,78.2,79.7,-0.17
김도규,68585,2023,롯데,4.55,36,0,0,0,3,1,1,0.0,132,29.7,29,1,13,1,26,16,15,1998-07-11,중계,0.32,6.0,4.85,3.54,1.42,85.7,116.7,-1.28
하준영,68639,2023,NC,4.59,57,0,0,1,0,0,2,1.0,215,49.0,52,4,19,2,49,25,25,1999-09-06,중계,0.59,0.0,4.59,3.73,1.45,90.7,113.2,-1.15
윤중현,68619,2023,KIA,3.86,31,0,0,2,1,0,0,0.667,115,28.0,29,2,10,1,8,13,12,1995-04-25,중계,0.42,0.0,3.86,4.87,1.39,107.1,84.5,0.2
김유신,68659,2023,KIA,5.64,27,0,0,0,1,0,2,0.0,141,30.3,34,2,19,3,12,19,19,1999-06-14,중계,0.1,0.0,5.64,5.68,1.75,73.3,72.7,-0.64
조성훈,68848,2023,SSG,6.43,2,0,0,0,1,0,0,0.0,34,7.0,10,0,4,2,4,5,5,1999-03-22,선발,-0.09,0.0,6.43,4.87,2.0,65.1,85.7,-0.1
최민준,68856,2023,SSG,4.2,53,0,0,5,3,1,7,0.625,262,60.0,75,7,19,1,37,29,28,1999-06-11,중계,0.96,2.0,4.2,4.68,1.57,99.6,90.9,-0.59
이채호,68896,2023,KT,6.93,25,0,0,0,1,0,1,0.0,110,24.7,26,6,9,3,8,19,19,1998-11-23,중계,-0.11,1.0,6.93,7.42,1.42,60.9,55.8,-0.57
김영규,68900,2023,NC,3.06,63,0,0,2,4,0,24,0.333,247,61.7,45,2,23,1,48,22,21,2000-02-10,중계,1.82,5.0,3.06,3.43,1.1,135.9,122.4,1.08
신민혁,68902,2023,NC,3.98,29,0,0,5,5,0,0,0.5,519,122.0,122,14,25,6,97,63,54,1999-02-04,선발,1.22,3.0,3.98,4.11,1.21,104.5,102.8,-0.36
김시훈,68928,2023,NC,4.44,61,0,0,4,3,3,12,0.571,245,52.7,57,3,34,1,49,32,26,1999-02-24,중계,0.05,3.0,4.44,4.32,1.73,93.7,97.5,-1.51
쿠에바스,69032,2023,KT,2.6,18,0,0,12,0,0,0,1.0,460,114.3,95,4,24,2,100,33,33,1990-10-14,선발,4.08,5.0,2.6,2.8,1.04,162.6,149.5,2.49
손동현,69041,2023,KT,3.42,64,0,0,8,5,1,15,0.615,301,73.7,68,5,20,2,40,31,28,2001-01-23,중계,1.83,2.0,3.42,4.09,1.2,123.4,101.6,1.11
전용주,69047,2023,KT,4.35,15,0,0,0,1,0,1,0.0,43,10.3,6,0,6,1,9,5,5,2000-02-12,중계,0.15,4.0,4.35,3.73,1.16,97.0,112.2,0.04
이상동,69054,2023,KT,3.98,36,0,0,4,1,0,1,0.8,179,40.7,45,4,15,0,43,19,18,1995-11-24,중계,0.72,1.0,3.98,3.57,1.48,106.0,117.5,0.43
알칸타라,69045,2023,두산,2.67,31,0,0,13,9,0,0,0.591,777,192.0,171,16,35,5,162,67,57,1992-12-04,선발,5.51,3.0,2.67,3.45,1.07,152.5,116.2,2.85
이선우,69068,2023,KT,4.34,22,0,0,0,2,0,0,0.0,169,37.3,47,5,9,4,24,20,18,2000-09-19,선발,0.13,0.0,4.34,4.94,1.5,97.3,84.0,-0.66
켈리,69103,2023,LG,3.83,30,0,0,10,7,0,0,0.588,746,178.7,183,10,39,6,129,87,76,1989-10-04,선발,1.95,6.0,3.83,3.47,1.24,106.6,118.0,0.35
이지강,69108,2023,LG,3.97,22,0,0,2,5,0,2,0.286,299,68.0,60,4,28,9,38,45,30,1999-07-02,선발,-0.33,3.0,3.97,4.72,1.29,102.8,86.7,-0.56
이정용,69134,2023,LG,4.15,37,0,0,7,2,3,1,0.778,382,86.7,100,5,19,2,50,45,40,1996-03-26,선발,0.81,3.0,4.15,3.77,1.37,98.3,108.5,-0.67
정우영,69159,2023,LG,4.7,60,0,0,5,6,0,11,0.455,245,51.7,63,1,17,15,41,39,27,1999-08-19,중계,-0.88,2.0,4.7,3.91,1.55,86.8,105.5,-1.82
이상영,69168,2023,LG,3.27,6,0,0,0,1,0,0,0.0,54,11.0,12,0,8,3,4,5,4,2000-12-03,선발,0.1,0.0,3.27,5.72,1.82,124.7,72.3,-0.14
요키시,69343,2023,키움,4.39,12,0,0,5,3,0,0,0.625,286,65.7,82,3,14,3,51,37,32,1989-07-29,선발,0.47,1.0,4.39,3.21,1.46,93.6,126.6,-0.13
원태인,69446,2023,삼성,3.24,26,0,0,7,7,0,0,0.5,634,150.0,157,15,34,6,102,61,54,2000-04-06,선발,3.47,6.0,3.18,4.14,1.27,133.2,101.5,0.67
김기훈,69620,2023,KIA,4.6,29,0,0,2,0,0,0,1.0,156,31.3,28,0,37,2,26,22,16,2000-01-03,중계,-0.18,5.0,4.6,5.42,2.07,89.9,76.7,-0.99
백승건,69839,2023,SSG,4.97,25,0,0,2,2,0,3,0.5,170,38.0,41,7,17,0,29,24,21,2000-10-29,선발,0.14,0.0,4.97,5.65,1.53,84.1,75.8,0.18
송명기,69962,2023,NC,4.83,35,0,0,4,9,0,0,0.308,474,104.3,106,12,47,11,65,64,56,2000-08-09,선발,0.3,6.0,4.92,5.36,1.47,84.7,78.5,-1.33
전사민,69969,2023,NC,4.76,9,0,0,0,2,1,0,0.0,81,17.0,17,1,14,2,6,10,9,1999-07-06,중계,0.14,1.0,4.76,6.15,1.82,87.4,68.2,-0.17
고효준,72523,2023,SSG,4.5,73,0,0,4,1,0,13,0.8,262,58.0,49,3,42,3,66,31,29,1983-02-08,중계,0.43,4.0,4.5,4.17,1.57,93.0,101.1,0.08
우규민,73117,2023,삼성,4.81,56,0,0,3,1,0,13,0.75,188,43.0,55,3,5,3,28,25,23,1985-01-21,중계,0.34,0.0,4.81,3.61,1.4,88.0,116.2,-0.26
노경은,73211,2023,SSG,3.58,76,0,0,9,5,2,30,0.643,357,83.0,78,4,36,4,65,33,33,1984-03-11,중계,2.35,8.0,3.58,3.77,1.37,117.0,111.8,1.75
장원준,74513,2023,두산,5.27,11,0,0,3,5,0,0,0.375,183,41.0,53,4,11,2,24,27,24,1985-07-31,선발,-0.17,2.0,5.27,4.49,1.56,77.3,89.4,-0.64
정우람,74857,2023,한화,5.36,52,0,0,0,1,0,8,0.0,183,40.3,45,3,17,2,30,24,24,1985-06-01,중계,0.24,3.0,5.36,4.34,1.54,77.5,95.7,0.24
오승환,75421,2023,삼성,3.45,58,0,0,4,5,30,2,0.444,264,62.7,57,9,15,2,44,26,24,1982-07-15,선발,1.81,0.0,3.45,4.67,1.15,122.9,90.5,0.63
김진성,75867,2023,LG,2.18,80,0,0,5,1,4,21,0.833,270,70.3,41,8,26,0,69,17,17,1985-03-07,중계,2.96,0.0,2.18,4.07,0.95,187.6,99.4,1.81
원종현,76118,2023,키움,5.79,20,0,0,1,1,0,6,0.5,87,18.7,24,3,5,1,17,16,12,1987-07-31,중계,-0.64,2.0,5.79,4.51,1.55,71.0,88.7,-0.53
김건국,76225,2023,KIA,6.75,6,0,0,0,1,0,0,0.0,70,16.0,18,0,4,1,9,12,12,1988-02-02,선발,-0.07,0.0,6.75,3.26,1.38,61.2,127.4,-0.24
김상수,76430,2023,롯데,3.12,67,0,0,4,2,1,18,0.667,218,52.0,45,1,21,3,36,22,18,1988-01-02,중계,1.21,1.0,3.12,3.69,1.27,133.5,112.4,0.6
이용찬,77211,2023,NC,4.13,60,0,0,4,4,29,0,0.5,254,61.0,53,5,19,3,51,28,28,1989-01-02,중계,1.18,4.0,4.13,3.87,1.18,100.8,108.9,1.31
김강률,77263,2023,두산,4.21,32,0,0,1,0,1,7,1.0,115,25.7,23,2,12,2,21,14,12,1988-08-28,중계,0.23,2.0,4.21,4.46,1.36,96.8,90.7,0.15
장시환,77318,2023,한화,3.38,39,0,0,2,2,1,7,0.5,153,34.7,32,1,21,4,24,13,13,1987-11-01,중계,1.0,3.0,3.38,4.51,1.53,123.0,92.0,-0.81
백정현,77446,2023,삼성,3.67,18,0,0,7,5,0,0,0.583,419,100.7,100,6,30,0,61,44,41,1987-07-13,선발,2.22,5.0,3.67,3.84,1.29,115.5,108.9,0.6
양현종,77637,2023,KIA,3.58,29,0,0,9,11,0,0,0.45,729,171.0,181,13,48,1,133,78,68,1988-03-01,선발,2.8,5.0,3.53,3.72,1.33,117.2,110.4,-0.03
김광현,77829,2023,SSG,3.53,30,0,0,9,8,0,0,0.529,713,168.3,163,11,70,2,119,75,66,1988-07-22,선발,3.3,5.0,3.53,4.16,1.38,118.6,101.3,0.92
장필준,77927,2023,삼성,7.91,17,0,0,1,1,0,1,0.5,96,19.3,28,2,12,2,11,17,17,1988-04-08,선발,-0.3,0.0,7.91,5.82,2.07,53.5,71.8,-0.34
정찬헌,78148,2023,키움,4.75,14,1,0,2,8,0,0,0.2,295,72.0,71,4,13,2,35,40,38,1990-01-26,선발,0.67,0.0,4.75,3.78,1.17,86.5,108.1,-0.15
임창민,78352,2023,키움,2.51,51,0,0,2,2,26,1,0.5,209,46.7,51,3,17,2,40,16,13,1985-08-25,중계,1.89,0.0,2.51,3.59,1.46,163.8,113.1,0.55
하준호,78517,2023,KT,4.15,12,0,0,0,1,0,0,0.0,65,13.0,14,0,10,5,6,9,6,1989-04-29,중계,0.04,4.0,4.85,5.52,1.85,87.1,75.5,-0.15
장민재,79764,2023,한화,4.83,25,0,0,3,8,0,1,0.273,308,69.0,79,12,22,5,61,46,37,1990-03-19,선발,-0.12,5.0,4.83,5.02,1.46,86.0,82.7,-0.54
