이름,id,생년월일,연도,팀명,나이,출장,완투,완봉,선발,승,패,세,홀드,이닝,실점,자책,타자,안타,2타,3타,홈런,볼넷,고4,사구,삼진,보크,폭투,ERA,FIP,WHIP,ERA+,FIP+,WAR,WPA,포지션
배재준,63145,1994-11-24,2023,LG,29,1,0,0,0,0,0,0,0,1.0,2,2,6,2,0.0,1.0,0,1,0,0,0,0,1,18.0,6.44,3.0,22.7,64.2,-0.06,-0.0,중계
함덕주,63248,1995-01-13,2023,LG,28,57,0,0,0,4,0,4,16,55.2,12,10,222,32,9.0,1.0,1,22,1,2,59,0,0,1.62,2.8,0.97,252.5,148.0,2.63,2.27,중계
윤대경,63464,1994-04-09,2023,한화,29,47,0,0,0,5,1,0,2,47.2,18,13,199,36,9.0,1.0,4,19,0,6,28,0,2,2.45,4.93,1.15,169.2,84.2,1.11,0.58,중계
이재익,63492,1994-03-18,2023,삼성,29,51,0,0,0,1,3,0,11,41.0,19,18,181,46,5.0,1.0,3,17,3,0,26,0,3,3.95,4.15,1.54,107.2,101.3,0.77,-0.71,중계
구승민,63543,1990-06-12,2023,롯데,33,67,0,0,0,2,6,3,22,63.2,32,28,289,65,8.0,0.0,4,29,0,5,66,0,2,3.96,3.79,1.48,105.1,108.6,0.86,-0.45,중계
박준표,63638,1992-06-26,2023,KIA,31,33,0,0,0,1,0,0,3,28.0,16,14,118,28,3.0,1.0,3,9,1,0,13,0,1,4.5,4.76,1.32,91.8,86.0,0.18,-0.2,중계
이충호,63749,1994-09-20,2023,한화,29,11,0,0,0,0,0,0,0,8.2,9,9,41,12,0.0,0.0,2,5,0,1,7,0,0,9.35,6.9,1.96,44.4,60.2,-0.18,-0.24,중계
장현식,63950,1995-02-24,2023,KIA,28,56,0,0,0,2,2,3,5,51.0,26,23,226,58,8.0,0.0,6,26,1,1,44,0,1,4.06,4.78,1.65,101.8,85.7,0.52,-0.62,중계
이상민,63960,1990-11-04,2023,삼성,33,23,0,0,0,2,1,0,1,18.0,17,17,83,32,3.0,1.0,2,3,0,0,17,0,0,8.5,3.5,1.94,49.8,120.6,-0.54,-0.63,중계
임정호,63959,1990-04-16,2023,NC,33,65,0,0,0,4,4,0,15,50.0,30,26,216,51,9.0,1.0,3,17,0,4,49,1,4,4.68,3.52,1.36,89.0,119.4,0.08,-0.29,중계
윤호솔,63961,1994-07-15,2023,LG,29,4,0,0,0,0,0,0,0,3.2,1,1,17,3,1.0,0.0,0,3,0,0,4,0,0,2.45,3.72,1.64,166.3,111.7,0.08,0.04,중계
고영표,64001,1991-09-16,2023,KT,32,28,0,0,27,12,7,0,0,174.2,57,54,706,181,27.0,5.0,7,19,1,9,114,0,6,2.78,3.12,1.15,151.8,133.7,6.14,3.34,선발
박세웅,64021,1995-11-30,2023,롯데,28,27,0,0,27,9,7,0,0,154.0,70,59,657,145,24.0,0.0,8,59,1,4,129,0,10,3.45,3.65,1.33,120.7,112.8,3.11,0.84,선발
심재민,64017,1994-02-18,2023,"KT,롯데",29,33,0,0,6,3,1,0,6,47.2,23,20,218,57,6.0,0.0,2,18,1,1,29,0,1,3.78,3.9,1.57,110.3,105.6,0.8,0.11,중계
심재민,64017,1994-02-18,2023,롯데,29,29,0,0,6,3,1,0,6,45.2,18,15,202,49,5.0,0.0,2,16,1,1,28,0,1,2.96,3.84,1.42,140.7,107.3,1.13,0.23,선발
심재민,64017,1994-02-18,2023,KT,29,4,0,0,0,0,0,0,0,2.0,5,5,16,8,1.0,0.0,0,2,0,0,1,0,0,22.5,5.44,5.0,18.8,76.6,-0.23,-0.12,중계
류희운,64029,1995-06-19,2023,한화,28,3,0,0,0,0,0,0,0,4.0,5,5,20,6,1.0,0.0,1,2,0,0,4,0,0,11.25,6.19,2.0,36.9,67.1,-0.1,-0.01,중계
조현우,64047,1994-03-30,2023,KT,29,5,0,0,0,0,0,0,0,3.0,2,2,17,6,1.0,0.0,0,2,0,0,1,0,1,6.0,4.78,2.67,70.4,87.2,0.02,0.01,중계
이영준,64051,1991-10-10,2023,키움,32,2,0,0,0,0,1,0,0,1.2,4,4,10,4,0.0,0.0,0,1,0,0,0,0,1,21.6,5.24,3.0,19.0,79.0,-0.42,-0.46,중계
하영민,64350,1995-05-07,2023,키움,28,57,0,0,0,3,1,0,5,52.1,36,27,247,67,8.0,4.0,4,25,3,1,51,0,6,4.64,3.81,1.76,88.4,106.4,-0.46,-0.94,중계
이인복,64565,1991-06-18,2023,롯데,32,10,0,0,7,1,4,0,0,33.1,32,24,168,54,7.0,3.0,3,10,1,5,15,0,4,6.48,4.97,1.92,64.2,82.2,-0.8,-1.39,선발
김재열,64580,1996-01-02,2023,KIA,27,9,0,0,0,0,0,0,0,11.2,17,17,70,20,4.0,1.0,2,13,0,0,9,0,0,13.11,7.47,2.83,31.5,55.0,-0.71,-0.4,중계
최영환,64718,1992-02-20,2023,롯데,31,8,0,0,0,0,1,0,0,10.0,14,11,54,15,8.0,0.0,0,7,0,1,7,0,0,9.9,4.44,2.2,42.0,93.9,-0.51,-0.38,중계
조이현,64768,1995-06-27,2023,KT,28,18,0,0,4,2,1,0,1,35.0,27,26,170,61,14.0,1.0,3,6,0,2,17,1,1,6.69,4.27,1.91,63.2,97.3,-0.17,-0.38,선발
이승진,64805,1995-01-07,2023,두산,28,1,0,0,0,0,0,0,0,0.2,4,0,6,1,0.0,0.0,0,1,0,1,1,0,0,0.0,9.44,3.0,,43.8,-0.15,-0.0,중계
이건욱,64861,1995-02-13,2023,SSG,28,27,0,0,1,1,0,0,0,38.2,13,10,169,31,7.0,0.0,0,25,2,2,31,0,2,2.33,3.78,1.45,179.8,110.1,0.93,-0.09,중계
박민호,64893,1992-02-25,2023,SSG,31,10,0,0,0,0,0,0,0,10.0,3,1,47,14,1.0,0.0,0,1,0,2,4,0,0,0.9,3.54,1.5,465.0,117.8,0.29,0.14,중계
서동민,64896,1994-03-07,2023,SSG,29,2,0,0,0,0,0,0,0,1.0,0,0,6,0,0.0,0.0,0,3,0,0,1,0,0,0.0,10.44,3.0,,39.8,0.05,-0.05,중계
김민수,65048,1992-07-24,2023,KT,31,14,0,0,0,0,1,0,3,13.0,10,10,58,17,5.0,2.0,1,5,0,0,4,0,0,6.92,4.98,1.69,61.0,83.3,-0.07,-0.23,중계
엄상백,65056,1996-10-04,2023,KT,27,20,0,0,19,7,6,0,0,111.2,46,45,454,100,16.0,4.0,6,29,0,2,89,0,1,3.63,3.38,1.16,116.4,123.6,2.45,0.86,선발
정성곤,65058,1996-07-10,2023,SSG,27,6,0,0,0,0,0,0,0,4.1,9,5,29,8,3.0,0.0,2,7,0,0,3,0,0,10.38,12.9,3.46,40.3,33.3,-0.32,-0.1,중계
김재윤,65062,1990-09-16,2023,KT,33,59,0,0,0,5,5,32,0,65.2,21,19,262,54,5.0,2.0,2,13,5,1,60,0,3,2.6,2.42,1.02,162.2,173.7,2.86,2.31,중계
주권,65060,1995-05-31,2023,KT,28,42,0,0,3,1,2,0,5,47.0,23,23,205,49,7.0,1.0,4,19,2,2,17,0,0,4.4,5.04,1.45,95.9,82.4,0.75,-0.47,선발
백승현,65109,1995-05-26,2023,LG,28,42,0,0,0,2,0,3,11,40.0,7,7,162,28,4.0,0.0,2,18,1,0,30,0,1,1.58,3.87,1.15,259.1,106.0,2.07,1.9,중계
이상규,65117,1996-10-20,2023,LG,27,8,0,0,0,0,0,0,0,7.2,2,2,34,7,0.0,0.0,0,5,0,0,6,0,1,2.35,3.83,1.57,173.8,108.2,0.23,0.17,중계
채지선,65241,1995-07-11,2023,"LG,NC",28,3,0,0,0,0,0,0,0,3.1,3,3,17,4,1.0,1.0,0,4,0,0,2,0,1,8.1,5.84,2.4,51.2,71.6,-0.02,-0.01,중계
채지선,65241,1995-07-11,2023,NC,28,2,0,0,0,0,0,0,0,2.2,3,3,16,4,1.0,1.0,0,4,0,0,2,0,1,10.13,6.44,3.0,41.1,65.1,-0.05,-0.01,중계
채지선,65241,1995-07-11,2023,LG,28,1,0,0,0,0,0,0,0,0.2,0,0,1,0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.44,0.0,,120.5,0.03,0.0,중계
최원태,65320,1997-01-07,2023,"키움,LG",26,26,0,0,26,9,7,0,0,146.2,73,70,632,149,17.0,1.0,12,46,2,7,118,0,6,4.3,3.94,1.33,95.4,102.9,2.03,0.84,중계
최원태,65320,1997-01-07,2023,키움,26,17,0,0,17,6,4,0,0,102.1,38,37,422,90,11.0,0.0,7,29,0,5,78,0,5,3.25,3.8,1.16,126.2,106.7,2.87,1.56,선발
최원태,65320,1997-01-07,2023,LG,26,9,0,0,9,3,3,0,0,44.1,35,33,210,59,6.0,1.0,5,17,2,2,40,0,1,6.7,4.25,1.71,60.9,95.1,-0.61,-0.72,선발
김주온,65411,1996-12-08,2023,SSG,27,1,0,0,0,0,0,0,0,0.1,3,3,5,2,0.0,0.0,0,1,0,1,1,0,1,81.0,15.44,9.0,5.2,27.4,-0.12,-0.0,중계
홍정우,65496,1996-03-16,2023,삼성,27,36,0,0,1,2,3,0,3,36.0,31,30,166,36,3.0,1.0,5,21,2,3,22,0,2,7.5,5.86,1.58,56.5,71.8,-0.81,-1.07,중계
배제성,65516,1996-09-29,2023,KT,27,26,0,0,24,8,10,0,0,130.1,72,65,596,144,20.0,1.0,6,77,0,2,79,1,9,4.49,4.65,1.7,94.1,89.7,1.03,-0.97,선발
김강현,65522,1995-02-27,2023,롯데,28,2,0,0,0,0,0,0,0,3.0,1,1,13,1,0.0,0.0,0,2,0,1,0,0,0,3.0,6.44,1.0,138.7,64.6,0.05,-0.0,중계
이민우,65616,1993-02-09,2023,한화,30,17,0,0,0,2,1,0,2,13.2,6,4,57,8,0.0,0.0,2,6,0,0,11,0,1,2.63,5.05,1.02,157.6,82.1,0.26,0.07,중계
박정수,65639,1996-01-29,2023,두산,27,25,0,0,0,1,0,1,0,36.2,22,17,165,37,12.0,0.0,1,18,1,6,28,0,2,4.17,4.15,1.5,97.6,99.0,0.23,0.13,중계
문경찬,65643,1992-07-08,2023,롯데,31,2,0,0,0,0,1,0,0,2.0,6,6,12,6,0.0,0.0,3,0,0,0,2,0,0,27.0,20.94,3.0,15.4,18.7,-0.45,-0.8,중계
이준영,65665,1992-08-10,2023,KIA,31,64,0,0,0,1,0,0,10,33.2,12,12,149,26,3.0,1.0,0,23,2,2,30,0,1,3.21,3.71,1.46,128.8,111.6,0.97,-0.02,중계
주현상,65707,1992-08-10,2023,한화,31,55,0,0,0,2,2,0,12,59.2,13,13,228,35,6.0,1.0,2,15,1,3,45,0,0,1.96,3.22,0.84,211.7,128.5,2.58,1.41,중계
김민우,65764,1995-07-25,2023,한화,28,12,0,0,12,1,6,0,0,51.2,43,40,243,65,16.0,2.0,6,28,0,2,43,0,5,6.97,5.03,1.8,59.6,82.5,-1.06,-1.61,선발
김범수,65769,1995-10-03,2023,한화,28,76,0,0,0,5,5,1,18,62.1,33,29,283,64,10.0,0.0,3,33,5,3,52,0,4,4.19,3.89,1.56,99.2,106.5,0.77,-0.32,중계
박세웅,65844,1996-05-10,2023,삼성,27,2,0,0,0,0,0,0,0,0.2,2,2,6,1,0.0,0.0,1,3,0,0,1,0,0,27.0,33.44,6.0,15.7,12.8,-0.12,-0.3,중계
구창모,65933,1997-02-17,2023,NC,26,11,0,0,9,1,3,0,0,51.2,19,17,205,38,3.0,0.0,4,16,0,0,56,0,0,2.96,3.21,1.05,140.6,131.7,1.55,1.05,선발
류진욱,65949,1996-10-10,2023,NC,27,70,0,0,0,1,4,0,22,67.0,19,16,268,41,2.0,2.0,1,32,1,1,62,0,5,2.15,3.22,1.09,193.8,130.3,2.62,1.13,중계
이우석,65964,1996-04-16,2023,NC,27,1,0,0,0,0,0,0,0,0.2,0,0,2,0,0.0,0.0,0,1,0,0,0,0,0,0.0,7.94,1.5,,52.7,0.02,0.0,중계
김선기,66018,1991-09-01,2023,키움,32,17,0,0,7,1,3,1,0,43.2,37,29,200,56,16.0,2.0,2,15,0,1,29,1,0,5.98,3.81,1.63,68.7,107.1,-0.73,-0.99,선발
박세진,66047,1997-06-27,2023,KT,26,16,0,0,0,0,1,0,1,11.2,8,5,66,15,2.0,0.0,1,14,0,0,10,0,2,3.86,6.44,2.49,109.5,64.7,0.02,-0.2,중계
김태오,66064,1997-07-29,2023,KT,26,5,0,0,0,0,0,0,0,7.1,6,6,35,10,3.0,0.0,0,4,1,0,3,0,0,7.36,3.85,1.91,57.3,108.5,-0.09,0.11,중계
김대현,66145,1997-03-08,2023,LG,26,5,0,0,0,0,0,0,0,3.1,5,4,22,8,2.0,0.0,1,2,0,1,3,0,1,10.8,8.24,3.0,37.8,48.5,-0.19,-0.4,중계
고봉재,66201,1993-05-14,2023,두산,30,10,0,0,0,0,0,0,0,11.1,8,8,53,12,2.0,1.0,0,7,0,1,7,0,0,6.35,4.33,1.68,64.1,95.9,-0.01,-0.21,중계
이영하,66291,1997-11-01,2023,두산,26,36,0,0,0,5,3,0,4,39.1,27,24,184,40,9.0,1.0,2,21,1,4,28,0,2,5.49,4.51,1.55,74.2,90.5,-0.2,-1.15,중계
박승주,66305,1994-02-12,2023,키움,29,18,0,0,0,0,3,0,0,18.0,11,7,91,19,3.0,2.0,2,13,0,2,15,0,5,3.5,5.72,1.78,117.3,70.9,0.09,-0.77,중계
최충연,66451,1997-03-05,2023,삼성,26,7,0,0,0,0,0,0,0,9.1,8,5,47,10,1.0,0.0,3,7,0,3,8,1,0,4.82,9.12,1.82,87.8,46.4,-0.08,-0.03,중계
김승현,66492,1992-07-09,2023,KIA,31,10,0,0,0,0,0,0,0,12.2,6,6,57,11,2.0,0.0,1,10,0,1,7,0,1,4.26,5.97,1.66,96.9,69.2,0.16,-0.02,중계
전상현,66609,1996-04-18,2023,KIA,27,64,0,0,0,8,3,1,13,58.2,20,14,250,50,8.0,0.0,1,26,4,1,50,0,3,2.15,3.14,1.3,192.4,131.3,1.97,1.8,중계
김재영,66741,1993-07-22,2023,한화,30,6,0,0,0,0,0,0,0,8.0,9,9,40,13,2.0,1.0,2,2,0,2,5,0,0,10.13,6.94,1.88,41.0,60.0,-0.26,-0.31,중계
김주한,66859,1993-02-03,2023,SSG,30,1,0,0,0,0,0,0,0,0.0,3,3,3,2,0.0,0.0,1,1,0,0,0,0,0,,,,,,0.0,-0.01,중계
최성영,66920,1997-04-28,2023,NC,26,18,0,0,13,5,4,0,0,66.2,37,36,303,77,15.0,2.0,6,32,0,5,38,0,1,4.86,5.14,1.64,85.7,81.8,0.68,-0.73,선발
오석주,67116,1998-04-14,2023,LG,25,9,0,0,0,0,0,0,0,10.0,7,7,44,12,2.0,0.0,2,3,0,0,11,0,2,6.3,4.74,1.5,64.8,84.1,0.01,-0.08,중계
고우석,67119,1998-08-06,2023,LG,25,44,0,0,0,3,8,15,0,44.0,19,18,190,38,6.0,0.0,2,22,1,4,59,0,5,3.68,3.06,1.36,110.9,134.3,0.98,-0.75,중계
손주영,67143,1998-12-02,2023,LG,25,3,0,0,2,1,0,0,0,8.2,7,5,46,12,0.0,0.0,0,6,0,0,5,1,0,5.19,4.37,2.08,78.6,95.0,0.0,-0.0,선발
김명신,67246,1993-11-29,2023,두산,30,70,0,0,0,3,3,1,24,79.0,34,32,334,72,18.0,0.0,3,27,3,6,65,0,3,3.65,3.43,1.25,111.7,119.3,1.59,1.62,중계
최원준,67263,1994-12-21,2023,두산,29,26,0,0,20,3,10,0,0,107.2,60,59,465,119,33.0,1.0,11,28,0,12,71,0,1,4.93,4.57,1.37,82.6,87.8,0.64,-0.31,선발
박치국,67266,1998-03-10,2023,두산,25,62,0,0,0,5,3,2,11,52.2,22,21,236,54,9.0,2.0,3,21,1,5,48,0,2,3.59,3.78,1.42,113.5,107.3,1.16,0.0,중계
양지율,67365,1998-12-16,2023,키움,25,1,0,0,0,0,0,0,0,0.2,1,1,6,1,0.0,0.0,0,3,0,0,2,0,0,13.5,10.94,6.0,30.4,37.3,-0.04,-0.04,중계
김재웅,67391,1998-10-22,2023,키움,25,67,0,0,0,2,3,6,18,59.2,29,28,250,56,11.0,0.0,2,24,1,0,46,0,0,4.22,3.49,1.34,97.2,116.9,1.0,1.35,중계
문용익,67419,1995-02-04,2023,삼성,28,14,0,0,0,1,0,0,0,13.0,6,6,59,8,1.0,0.0,0,12,0,2,12,0,5,4.15,4.83,1.54,102.0,85.3,0.23,-0.13,중계
최지광,67421,1998-03-13,2023,삼성,25,22,0,0,0,2,0,0,1,17.1,10,10,82,17,2.0,0.0,4,9,0,1,18,0,0,5.19,6.1,1.5,81.6,69.5,0.1,-0.69,중계
나원탁,67454,1994-08-20,2023,롯데,29,1,0,0,0,0,0,0,0,0.2,3,3,6,3,0.0,0.0,1,1,0,0,1,0,0,40.5,24.44,6.0,10.3,16.1,-0.11,-0.0,중계
김시현,67467,1998-09-26,2023,삼성,25,2,0,0,0,0,0,0,0,3.0,5,4,17,6,1.0,0.0,2,2,0,0,2,0,0,12.0,12.78,2.67,35.3,33.6,-0.12,-0.01,중계
나균안,67539,1998-03-16,2023,롯데,25,23,0,0,23,6,8,0,0,130.1,61,55,569,140,27.0,3.0,8,42,1,5,114,0,6,3.8,3.55,1.4,109.5,115.7,1.75,0.46,선발
이승호,67603,1999-02-08,2023,키움,24,4,0,0,1,0,0,0,1,5.0,3,3,24,5,3.0,0.0,1,4,0,0,1,0,0,5.4,8.04,1.8,76.0,50.4,0.08,-0.05,중계
유승철,67640,1998-03-02,2023,KIA,25,1,0,0,0,0,0,0,0,1.0,0,0,4,0,0.0,0.0,0,1,0,0,0,0,0,0.0,6.44,1.0,,64.7,0.03,0.0,중계
박상원,67703,1994-09-09,2023,한화,29,55,0,0,0,5,3,16,0,61.2,35,25,277,63,9.0,3.0,2,29,4,3,57,0,2,3.65,3.38,1.49,113.8,122.6,0.37,0.92,중계
김태욱,67768,1998-04-15,2023,롯데,25,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0.0,0.0,0,0,0,0,0,0,0,0.0,3.44,0.0,,120.5,0.04,0.0,중계
김태현,67956,1998-03-21,2023,NC,25,16,0,0,0,1,0,0,0,20.1,13,10,90,17,1.0,1.0,4,13,0,1,14,0,0,4.43,6.69,1.48,94.1,63.2,0.13,-0.01,중계
김진호,67954,1998-06-07,2023,NC,25,19,0,0,0,2,1,0,9,16.1,5,5,73,15,2.0,0.0,0,10,0,1,22,0,3,2.76,2.77,1.53,151.2,151.7,0.6,0.27,중계
최이준,68036,1999-04-10,2023,롯데,24,28,0,0,0,1,0,0,1,29.0,22,22,143,37,11.0,3.0,1,21,1,0,20,0,4,6.83,4.58,2.0,60.9,90.2,-0.15,0.23,중계
김민,68043,1999-04-14,2023,KT,24,16,0,0,4,1,2,0,0,29.0,26,22,145,40,6.0,0.0,3,16,0,4,22,0,4,6.83,5.34,1.93,61.8,78.0,-0.64,-1.13,선발
한두솔,68092,1997-01-15,2023,SSG,26,1,0,0,0,0,0,0,0,1.0,1,1,6,1,0.0,1.0,0,1,0,1,2,0,0,9.0,5.44,2.0,46.5,77.7,-0.01,-0.01,중계
김영준,68130,1999-01-12,2023,LG,24,1,0,0,0,1,0,0,0,0.1,1,1,3,1,0.0,0.0,0,1,0,0,0,0,0,27.0,12.44,6.0,15.1,33.2,-0.05,-0.03,중계
성동현,68159,1999-05-18,2023,LG,24,1,0,0,0,0,0,0,0,1.0,1,1,6,2,0.0,0.0,0,1,0,0,1,0,0,9.0,4.44,3.0,45.4,93.3,-0.01,-0.0,중계
김민규,68200,1999-05-07,2023,두산,24,6,0,0,1,0,0,0,0,8.1,5,4,37,6,2.0,1.0,0,4,0,2,5,0,2,4.32,4.4,1.2,94.3,94.1,0.0,-0.12,선발
곽빈,68220,1999-05-28,2023,두산,24,23,0,0,23,12,7,0,0,127.1,44,41,526,96,18.0,1.0,7,58,0,5,106,1,4,2.9,3.98,1.21,140.6,102.2,4.18,2.46,선발
정철원,68242,1999-03-27,2023,두산,24,67,0,0,0,7,6,13,11,72.2,36,32,315,66,6.0,0.0,8,32,2,2,55,1,6,3.96,4.68,1.35,102.8,85.6,1.13,0.2,중계
박신지,68249,1999-07-16,2023,두산,24,15,0,0,1,0,0,0,0,26.0,16,16,129,39,13.0,0.0,1,11,0,3,15,0,2,5.54,4.4,1.92,73.5,92.9,0.08,-0.64,선발
김호준,68269,1998-05-17,2023,두산,25,3,0,0,0,0,0,0,0,3.0,4,4,16,3,0.0,0.0,1,4,0,0,2,0,1,12.0,10.44,2.33,33.9,37.8,-0.09,0.0,중계
안우진,68341,1999-08-30,2023,키움,24,24,0,0,24,9,7,0,0,150.2,44,40,608,121,25.0,1.0,5,38,1,1,164,0,8,2.39,2.45,1.06,171.9,164.8,5.2,3.46,선발
양창섭,68415,1999-09-22,2023,삼성,24,15,0,0,4,0,3,0,2,28.2,29,29,141,45,5.0,1.0,7,16,1,1,12,0,2,9.1,7.45,2.13,46.5,56.8,-0.77,-0.92,선발
최채흥,68419,1995-01-22,2023,삼성,28,15,0,0,14,1,7,0,0,63.1,52,47,295,90,13.0,3.0,9,16,1,3,33,1,1,6.68,5.1,1.67,63.4,82.7,-0.79,-1.62,선발
최하늘,68501,1999-03-26,2023,삼성,24,3,0,0,2,0,2,0,0,6.1,14,14,40,14,6.0,0.0,2,5,0,2,3,0,0,19.89,9.92,3.0,21.3,42.6,-0.71,-0.71,중계
정성종,68556,1995-11-16,2023,롯데,28,12,0,0,3,0,1,0,1,22.0,14,13,98,21,5.0,0.0,1,15,1,1,10,0,1,5.32,5.17,1.64,78.2,79.7,-0.05,-0.17,선발
김도규,68585,1998-07-11,2023,롯데,25,36,0,0,0,0,3,1,1,29.2,16,16,132,29,5.0,0.0,1,13,0,1,26,0,6,4.85,3.54,1.42,85.7,116.7,0.32,-1.28,중계
윤중현,68619,1995-04-25,2023,KIA,28,31,0,0,0,2,1,0,0,28.0,13,12,115,29,3.0,0.0,2,10,1,1,8,0,0,3.86,4.87,1.39,107.1,84.5,0.42,0.2,중계
하준영,68639,1999-09-06,2023,NC,24,57,0,0,0,1,0,0,2,49.0,25,25,215,52,6.0,1.0,4,19,1,2,49,0,0,4.59,3.73,1.45,90.7,113.2,0.59,-1.15,중계
김유신,68659,1999-06-14,2023,KIA,24,27,0,0,0,0,1,0,2,30.1,19,19,141,34,8.0,0.0,2,19,0,3,12,0,0,5.64,5.68,1.75,73.3,72.7,0.1,-0.64,중계
김정우,68830,1999-05-15,2023,두산,24,7,0,0,0,0,0,0,0,6.2,7,7,38,11,2.0,0.0,1,7,0,0,6,0,0,9.45,6.74,2.7,43.1,59.5,-0.09,-0.06,중계
조성훈,68848,1999-03-22,2023,SSG,24,2,0,0,2,0,1,0,0,7.0,5,5,34,10,1.0,0.0,0,4,0,2,4,0,0,6.43,4.87,2.0,65.1,85.7,-0.09,-0.1,선발
최민준,68856,1999-06-11,2023,SSG,24,53,0,0,0,5,3,1,7,60.0,29,28,262,75,10.0,2.0,7,19,1,1,37,0,2,4.2,4.68,1.57,99.6,90.9,0.96,-0.59,중계
이채호,68896,1998-11-23,2023,KT,25,25,0,0,0,0,1,0,1,24.2,19,19,110,26,6.0,0.0,6,9,0,3,8,0,1,6.93,7.42,1.42,60.9,55.8,-0.11,-0.57,중계
김영규,68900,2000-02-10,2023,NC,23,63,0,0,0,2,4,0,24,61.2,22,21,247,45,6.0,5.0,2,23,1,1,48,2,5,3.06,3.43,1.1,135.9,122.4,1.82,1.08,중계
신민혁,68902,1999-02-04,2023,NC,24,29,0,0,24,5,5,0,0,122.0,63,54,518,122,27.0,2.0,14,25,0,6,97,0,3,3.98,4.11,1.21,104.5,102.8,1.22,-0.36,선발
김시훈,68928,1999-02-24,2023,NC,24,61,0,0,0,4,3,3,12,52.2,32,26,245,57,10.0,1.0,3,34,0,1,49,0,3,4.44,4.32,1.73,93.7,97.5,0.05,-1.51,중계
쿠에바스,69032,1990-10-14,2023,KT,33,18,0,0,18,12,0,0,0,114.1,33,33,460,95,10.0,2.0,4,24,1,2,100,0,5,2.6,2.8,1.04,162.6,149.5,4.08,2.49,선발
손동현,69041,2001-01-23,2023,KT,22,64,0,0,0,8,5,1,15,73.2,31,28,301,68,11.0,0.0,5,20,1,2,40,0,2,3.42,4.09,1.2,123.4,101.6,1.83,1.11,중계
전용주,69047,2000-02-12,2023,KT,23,15,0,0,0,0,1,0,1,10.1,5,5,43,6,4.0,0.0,0,6,0,1,9,0,4,4.35,3.73,1.16,97.0,112.2,0.15,0.04,중계
알칸타라,69045,1992-12-04,2023,두산,31,31,0,0,31,13,8,0,0,192.0,67,57,777,171,33.0,0.0,16,35,1,5,162,0,3,2.67,3.45,1.07,152.5,116.2,5.51,2.85,선발
이상동,69054,1995-11-24,2023,KT,28,36,0,0,0,4,1,0,1,40.2,19,18,179,45,10.0,0.0,4,15,2,0,43,0,1,3.98,3.57,1.48,106.0,117.5,0.72,0.43,중계
이선우,69068,2000-09-19,2023,KT,23,22,0,0,4,0,2,0,0,37.1,20,18,169,47,6.0,0.0,5,9,0,4,24,0,0,4.34,4.94,1.5,97.3,84.0,0.13,-0.66,선발
켈리,69103,1989-10-04,2023,LG,34,30,0,0,30,10,7,0,0,178.2,87,76,746,183,31.0,3.0,10,39,1,6,129,0,6,3.83,3.47,1.24,106.6,118.0,1.95,0.35,선발
이지강,69108,1999-07-02,2023,LG,24,22,0,0,12,2,5,0,2,68.0,45,30,299,60,9.0,0.0,4,28,0,9,38,0,3,3.97,4.72,1.29,102.8,86.7,-0.33,-0.56,선발
이정용,69134,1996-03-26,2023,LG,27,37,0,0,13,7,2,3,1,86.2,45,40,382,100,20.0,1.0,5,19,0,2,50,0,3,4.15,3.77,1.37,98.3,108.5,0.81,-0.67,선발
정우영,69159,1999-08-19,2023,LG,24,60,0,0,0,5,6,0,11,51.2,39,27,245,63,11.0,0.0,1,17,1,15,41,1,2,4.7,3.91,1.55,86.8,105.5,-0.88,-1.82,중계
이상영,69168,2000-12-03,2023,LG,23,6,0,0,2,0,1,0,0,11.0,5,4,54,12,3.0,0.0,0,8,0,3,4,0,0,3.27,5.72,1.82,124.7,72.3,0.1,-0.14,선발
윤산흠,69213,1999-05-15,2023,한화,24,5,0,0,0,0,0,0,0,3.0,2,2,18,3,1.0,0.0,0,6,0,0,3,0,0,6.0,7.44,3.0,69.2,55.8,-0.1,-0.46,중계
요키시,69343,1989-07-29,2023,키움,34,12,0,0,12,5,3,0,0,65.2,37,32,286,82,14.0,1.0,3,14,1,3,51,0,1,4.39,3.21,1.46,93.6,126.6,0.47,-0.13,선발
조영건,69360,1999-02-04,2023,키움,24,6,0,0,0,0,0,0,1,7.2,0,0,27,5,1.0,0.0,0,2,0,0,7,0,0,0.0,2.4,0.91,,170.8,0.4,0.2,중계
윤정현,69399,1993-05-17,2023,키움,30,5,0,0,0,0,0,0,0,6.0,2,1,26,5,0.0,0.0,0,6,0,0,2,0,1,1.5,5.78,1.83,273.8,71.5,0.16,-0.12,중계
원태인,69446,2000-04-06,2023,삼성,23,26,0,0,26,7,7,0,0,150.0,61,53,633,156,26.0,1.0,15,34,2,6,102,2,6,3.18,4.14,1.27,133.2,101.5,3.47,0.67,선발
박영완,69507,2000-07-22,2023,롯데,23,1,0,0,0,0,0,0,0,1.0,0,0,3,0,0.0,0.0,0,1,0,0,1,0,0,0.0,4.44,1.0,,94.0,0.05,0.01,중계
박진,69594,1999-04-02,2023,롯데,24,4,0,0,0,0,0,0,0,5.0,5,5,29,7,2.0,0.0,1,7,0,0,2,1,1,9.0,9.44,2.8,46.2,43.2,-0.08,-0.07,중계
